dose_id,kind,uva_mw_cm2,uvb_mw_cm2,mean_reflectance,median_reflectance,min_reflectance,max_reflectance,range_reflectance,area_reflectance,mean_std,median_std,mean_mad,median_mad,wavelength_lower_nm,wavelength_upper_nm,wavelength_step_nm,wavelength_point_count,samples_total,samples_used,trim_fraction,samples_12,samples_6,dad_total_mean,dad_total_sd,dad_total_median,dad_total_mad,dad_total_n_used,dad_oxidized_mean,dad_oxidized_sd,dad_oxidized_median,dad_oxidized_mad,dad_oxidized_n_used,dad_reduced_mean,dad_reduced_sd,dad_reduced_median,dad_reduced_mad,dad_reduced_n_used
dose_1,12Oclock,0.0,0.0,0.1715928479054264,0.1698622653881708,0.135025198260943,0.2204218904177347,0.0853966921567916,27.45324450482925,0.0104281864387366,0.0101603593483379,0.0090907860860645,0.0084179043769836,320.0,480.0,0.5,321,5,3,0.2,,,0.5202563375770172,0.6037973847005771,0.1765755199927233,0.227710441897443,3,-0.114204631160007,0.4561741290173972,-0.3044524785901091,0.271793241304943,3,1.0497396879306968,0.1802895667910866,1.104154667242737,0.2556442647683863,3
dose_1,6Oclock,0.0,0.0,0.196686684079507,0.193989560008049,0.1622904663284619,0.2494212239980697,0.0871307576696078,31.46602908459801,0.0702443178123991,0.0696297160148346,0.0513020005088728,0.0463902354240418,320.0,480.0,0.5,321,5,3,0.2,,,0.5202563375770172,0.6037973847005771,0.1765755199927233,0.227710441897443,3,-0.114204631160007,0.4561741290173972,-0.3044524785901091,0.271793241304943,3,1.0497396879306968,0.1802895667910866,1.104154667242737,0.2556442647683863,3
dose_2,12Oclock,0.647,0.246,0.1193757056338889,0.116236555079619,0.0823186188936233,0.1714472969373067,0.0891286780436834,19.097512453794472,0.0150648729180769,0.0135924116733271,0.0207085204876471,0.0183655247092246,320.0,480.0,0.5,321,5,3,0.2,,,1.4054024203995992,0.1714636782556086,1.4809625425406014,0.271826125545423,3,0.3770185585136998,0.0690119994540316,0.3659730977620088,0.0849140353042705,3,1.9411383648794909,0.3131195708110819,1.862448680826068,0.3644213485217216,3
dose_2,6Oclock,0.647,0.246,0.1929649684427311,0.188023214538892,0.1420767034093538,0.273032675186793,0.1309559717774391,30.867100090409295,0.0494809751409251,0.0477546948630402,0.057010276805946,0.0538987219333648,320.0,480.0,0.5,321,5,3,0.2,,,1.4054024203995992,0.1714636782556086,1.4809625425406014,0.271826125545423,3,0.3770185585136998,0.0690119994540316,0.3659730977620088,0.0849140353042705,3,1.9411383648794909,0.3131195708110819,1.862448680826068,0.3644213485217216,3
dose_3,12Oclock,1.095,0.338,0.1343894296965001,0.1327072257796923,0.0917900900046029,0.1919181396563848,0.1001280496517818,21.5002300950388,0.0348211249859812,0.034024509843446,0.0094246775654617,0.0083600208163261,320.0,480.0,0.5,321,5,3,0.2,,,1.492350762046004,0.1654304374989013,1.5548722768855183,0.2501009364926483,3,0.7930144626982226,0.4486079503311511,0.8972831299621381,0.5631396756775827,3,1.7065991751503304,0.0746476813535484,1.6708304874186437,0.0971560726450078,3
dose_3,6Oclock,1.095,0.338,0.146297053547106,0.1428341716527938,0.10530187189579,0.2087776263554891,0.1034757544596991,23.40290417025486,0.0395249947828854,0.0392764419026331,0.039927192635811,0.0344264730811119,320.0,480.0,0.5,321,5,3,0.2,,,1.492350762046004,0.1654304374989013,1.5548722768855183,0.2501009364926483,3,0.7930144626982226,0.4486079503311511,0.8972831299621381,0.5631396756775827,3,1.7065991751503304,0.0746476813535484,1.6708304874186437,0.0971560726450078,3
dose_4,12Oclock,1.692,0.584,0.1476794249094782,0.1476554820934931,0.1002545505762099,0.2037486284971236,0.1034940779209137,23.62865070998669,0.0073779302838977,0.0077620732366756,0.0109639679809968,0.0131414383649826,320.0,480.0,0.5,321,5,3,0.2,,,1.8439993034629107,0.1758921052111392,1.7794778301397156,0.2635628062355546,3,0.9507189731815124,0.6915156315612337,0.9356581591332256,0.7139838357304726,3,2.0255862997890524,0.152964690279637,1.9677996702741165,0.2312265649846252,3
dose_4,6Oclock,1.692,0.584,0.1618723837215828,0.1599117914835611,0.1169803217053413,0.2190996905167896,0.1021193688114483,25.897803159430627,0.0213861404573135,0.0202663724679344,0.025055932293057,0.0255786180496216,320.0,480.0,0.5,321,5,3,0.2,,,1.8439993034629107,0.1758921052111392,1.7794778301397156,0.2635628062355546,3,0.9507189731815124,0.6915156315612337,0.9356581591332256,0.7139838357304726,3,2.0255862997890524,0.152964690279637,1.9677996702741165,0.2312265649846252,3
dose_5,12Oclock,2.488,0.768,0.2164129017390939,0.2156298806269962,0.1739236811796823,0.2699529429276784,0.0960292617479961,34.6246092071136,0.0222079932397299,0.0235183064589791,0.030321411765253,0.0330484509468078,320.0,480.0,0.5,321,5,3,0.2,,,1.4396078592597448,0.2832181748195522,1.429085617908778,0.2988549013514634,3,0.3675817747447733,0.230460144318207,0.4727203472340024,0.3694182471194024,3,2.0926354579520665,0.7242996439060781,1.8178220937899336,1.0064659538618028,3
dose_5,6Oclock,2.488,0.768,0.1916862146412472,0.1900860667228698,0.1420152982076008,0.2550933162371318,0.1130780180295309,30.66731947660445,0.007646718577455,0.0062631231043369,0.0104859412830566,0.0094991326332092,320.0,480.0,0.5,321,5,3,0.2,,,1.4396078592597448,0.2832181748195522,1.429085617908778,0.2988549013514634,3,0.3675817747447733,0.230460144318207,0.4727203472340024,0.3694182471194024,3,2.0926354579520665,0.7242996439060781,1.8178220937899336,1.0064659538618028,3
dose_6,12Oclock,3.185,0.707,0.2121955281044214,0.2108886589606602,0.1617513795693715,0.2745656768480937,0.1128142972787221,33.949013809363024,0.0181687297283958,0.0225048962077876,0.0064408222555742,0.0056709945201873,320.0,480.0,0.5,321,5,3,0.2,,,1.5849377565495193,0.3244874163642878,1.6128122464575525,0.3653999654700957,3,0.7654051137655965,0.3082716033416444,0.8328480660453716,0.2729829194006554,3,1.9128785623277489,0.7521900784747159,2.0613229460092883,0.9637894485135934,3
dose_6,6Oclock,3.185,0.707,0.2239471863518126,0.2224677850802739,0.1643764823675155,0.2940952926874161,0.1297188103199005,35.8290749055644,0.0473286956214351,0.0458941967454017,0.0282012036192082,0.0213702023029327,320.0,480.0,0.5,321,5,3,0.2,,,1.5849377565495193,0.3244874163642878,1.6128122464575525,0.3653999654700957,3,0.7654051137655965,0.3082716033416444,0.8328480660453716,0.2729829194006554,3,1.9128785623277489,0.7521900784747159,2.0613229460092883,0.9637894485135934,3
dose_1,Sigma,0.0,0.0,0.1841397659924665,0.1818682675560315,0.1486578322947024,0.2349215572079022,0.0862637249131998,29.459636794713628,0.0355134779001617,0.0351329524873441,0.0261479004866253,0.0234106381642503,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,0.5202563375770172,0.6037973847005771,0.1765755199927233,0.227710441897443,3,-0.114204631160007,0.4561741290173972,-0.3044524785901091,0.271793241304943,3,1.0497396879306968,0.1802895667910866,1.104154667242737,0.2556442647683863,3
dose_1,Delta,0.0,0.0,-0.0250938361740805,-0.0245794504880905,-0.0324708968400955,-0.0211529086033502,0.0113179882367452,-4.012784579768775,0.0710269558003234,0.0702659049746883,0.0522958009732506,0.0468212763285007,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,0.5202563375770172,0.6037973847005771,0.1765755199927233,0.227710441897443,3,-0.114204631160007,0.4561741290173972,-0.3044524785901091,0.271793241304943,3,1.0497396879306968,0.1802895667910866,1.104154667242737,0.2556442647683863,3
dose_2,Sigma,0.647,0.246,0.15617033703831,0.1517168730497359,0.1121976611514885,0.2204306051135063,0.1082329439620177,24.98230627210192,0.0259015640146523,0.0246291264084612,0.0304920095220059,0.0285698016347813,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,1.4054024203995992,0.1714636782556086,1.4809625425406014,0.271826125545423,3,0.3770185585136998,0.0690119994540316,0.3659730977620088,0.0849140353042705,3,1.9411383648794909,0.3131195708110819,1.862448680826068,0.3644213485217216,3
dose_2,Delta,0.647,0.246,-0.0735892628088423,-0.0719548438986142,-0.1069508790969848,-0.0559519852201143,0.0509988938768704,-11.769587636614837,0.0518031280293048,0.0492582528169224,0.0609840190440118,0.0571396032695626,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,1.4054024203995992,0.1714636782556086,1.4809625425406014,0.271826125545423,3,0.3770185585136998,0.0690119994540316,0.3659730977620088,0.0849140353042705,3,1.9411383648794909,0.3131195708110819,1.862448680826068,0.3644213485217216,3
dose_3,Sigma,1.095,0.338,0.140343241621803,0.1375620315472284,0.0985459809501965,0.2003478830059369,0.1018019020557404,22.451567132646833,0.0263828578542708,0.0257328332407574,0.0205677212670435,0.0178043970986328,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,1.492350762046004,0.1654304374989013,1.5548722768855183,0.2501009364926483,3,0.7930144626982226,0.4486079503311511,0.8972831299621381,0.5631396756775827,3,1.7065991751503304,0.0746476813535484,1.6708304874186437,0.0971560726450078,3
dose_3,Delta,1.095,0.338,-0.011907623850606,-0.0106872270504633,-0.0205234388510386,-0.0082657585541407,0.0122576802968978,-1.9026740752160496,0.0527657157085417,0.0514656664815149,0.041135442534087,0.0356087941972657,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,1.492350762046004,0.1654304374989013,1.5548722768855183,0.2501009364926483,3,0.7930144626982226,0.4486079503311511,0.8972831299621381,0.5631396756775827,3,1.7065991751503304,0.0746476813535484,1.6708304874186437,0.0971560726450078,3
dose_4,Sigma,1.692,0.584,0.1547759043155306,0.1537836367885271,0.1086174361407756,0.2114241595069566,0.1028067233661809,24.763226934708666,0.0113968636296004,0.0105606026777014,0.0138118962419667,0.0143670453340396,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,1.8439993034629107,0.1758921052111392,1.7794778301397156,0.2635628062355546,3,0.9507189731815124,0.6915156315612337,0.9356581591332256,0.7139838357304726,3,2.0255862997890524,0.152964690279637,1.9677996702741165,0.2312265649846252,3
dose_4,Delta,1.692,0.584,-0.0141929588121045,-0.0142802000045775,-0.0194423149029414,-0.0109921346108119,0.0084501802921295,-2.2691524494439297,0.0227937272592009,0.0211212053554028,0.0276237924839335,0.0287340906680793,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,1.8439993034629107,0.1758921052111392,1.7794778301397156,0.2635628062355546,3,0.9507189731815124,0.6915156315612337,0.9356581591332256,0.7139838357304726,3,2.0255862997890524,0.152964690279637,1.9677996702741165,0.2312265649846252,3
