dose_id,kind,uva_mw_cm2,uvb_mw_cm2,mean_reflectance,median_reflectance,min_reflectance,max_reflectance,range_reflectance,area_reflectance,mean_std,median_std,mean_mad,median_mad,wavelength_lower_nm,wavelength_upper_nm,wavelength_step_nm,wavelength_point_count,samples_total,samples_used,trim_fraction,samples_12,samples_6,chrom_total_mean,chrom_total_sd,chrom_total_ci_low,chrom_total_ci_high,chrom_oxidized_mean,chrom_oxidized_sd,chrom_oxidized_ci_low,chrom_oxidized_ci_high,chrom_reduced_mean,chrom_reduced_sd,chrom_reduced_ci_low,chrom_reduced_ci_high
dose_1,12Oclock,0.0,0.0,0.1715928479054264,0.1698622653881708,0.135025198260943,0.2204218904177347,0.0853966921567916,27.45324450482925,0.0104281864387366,0.0101603593483379,0.0090907860860645,0.0084179043769836,320.0,480.0,0.5,321,5,3,0.2,,,0.27379686988609,0.2355476896867997,0.0797916565483486,0.6810508025301946,0.0901073162314349,0.1560704498465212,0.0,0.5099368597280475,0.7400488048032302,0.1889624272906675,0.446985099559135,0.9671333435825707
dose_1,6Oclock,0.0,0.0,0.196686684079507,0.193989560008049,0.1622904663284619,0.2494212239980697,0.0871307576696078,31.46602908459801,0.0702443178123991,0.0696297160148346,0.0513020005088728,0.0463902354240418,320.0,480.0,0.5,321,5,3,0.2,,,0.27379686988609,0.2355476896867997,0.0797916565483486,0.6810508025301946,0.0901073162314349,0.1560704498465212,0.0,0.5099368597280475,0.7400488048032302,0.1889624272906675,0.446985099559135,0.9671333435825707
dose_2,12Oclock,0.647,0.246,0.1193757056338889,0.116236555079619,0.0823186188936233,0.1714472969373067,0.0891286780436834,19.097512453794472,0.0150648729180769,0.0135924116733271,0.0207085204876471,0.0183655247092246,320.0,480.0,0.5,321,5,3,0.2,,,0.6702106062314132,0.1112386744897307,0.5425370759693066,0.900847861988714,0.268739936889168,0.061742192539557,0.2030088342149299,0.3930508616515517,1.3406081155789291,0.2327910359189839,1.0968680287107302,1.9814399042006627
dose_2,6Oclock,0.647,0.246,0.1929649684427311,0.188023214538892,0.1420767034093538,0.273032675186793,0.1309559717774391,30.867100090409295,0.0494809751409251,0.0477546948630402,0.057010276805946,0.0538987219333648,320.0,480.0,0.5,321,5,3,0.2,,,0.6702106062314132,0.1112386744897307,0.5425370759693066,0.900847861988714,0.268739936889168,0.061742192539557,0.2030088342149299,0.3930508616515517,1.3406081155789291,0.2327910359189839,1.0968680287107302,1.9814399042006627
dose_3,12Oclock,1.095,0.338,0.1343894296965001,0.1327072257796923,0.0917900900046029,0.1919181396563848,0.1001280496517818,21.5002300950388,0.0348211249859812,0.034024509843446,0.0094246775654617,0.0083600208163261,320.0,480.0,0.5,321,5,3,0.2,,,0.746940679793033,0.1600769252777223,0.550123689607013,0.980512499216695,0.5445087237422649,0.3518020972945336,0.1122756947941592,0.9454591839711892,1.1817486605532,0.164271045065307,0.9384384043308506,1.3717867471627263
dose_3,6Oclock,1.095,0.338,0.146297053547106,0.1428341716527938,0.10530187189579,0.2087776263554891,0.1034757544596991,23.40290417025486,0.0395249947828854,0.0392764419026331,0.039927192635811,0.0344264730811119,320.0,480.0,0.5,321,5,3,0.2,,,0.746940679793033,0.1600769252777223,0.550123689607013,0.980512499216695,0.5445087237422649,0.3518020972945336,0.1122756947941592,0.9454591839711892,1.1817486605532,0.164271045065307,0.9384384043308506,1.3717867471627263
dose_4,12Oclock,1.692,0.584,0.1476794249094782,0.1476554820934931,0.1002545505762099,0.2037486284971236,0.1034940779209137,23.62865070998669,0.0073779302838977,0.0077620732366756,0.0109639679809968,0.0131414383649826,320.0,480.0,0.5,321,5,3,0.2,,,0.9855803035928415,0.0880909111971416,0.6680382185624246,1.1969731788741658,0.6112001910362025,0.5041549349892811,0.0617617791312084,1.0814939280657132,1.5181381816827064,0.0766125080167391,1.307424445363697,2.1862180080444857
dose_4,6Oclock,1.692,0.584,0.1618723837215828,0.1599117914835611,0.1169803217053413,0.2190996905167896,0.1021193688114483,25.897803159430627,0.0213861404573135,0.0202663724679344,0.025055932293057,0.0255786180496216,320.0,480.0,0.5,321,5,3,0.2,,,0.9855803035928415,0.0880909111971416,0.6680382185624246,1.1969731788741658,0.6112001910362025,0.5041549349892811,0.0617617791312084,1.0814939280657132,1.5181381816827064,0.0766125080167391,1.307424445363697,2.1862180080444857
dose_5,12Oclock,2.488,0.768,0.2164129017390939,0.2156298806269962,0.1739236811796823,0.2699529429276784,0.0960292617479961,34.6246092071136,0.0222079932397299,0.0235183064589791,0.030321411765253,0.0330484509468078,320.0,480.0,0.5,321,5,3,0.2,,,0.8071596303191209,0.1808943259505433,0.5428531483470487,1.1015288424065903,0.2336118541425206,0.1228510241959123,0.1041131008302109,0.4673717391235009,1.789889368479746,0.8916395507569914,0.8228576094469625,2.916863806996823
dose_5,6Oclock,2.488,0.768,0.1916862146412472,0.1900860667228698,0.1420152982076008,0.2550933162371318,0.1130780180295309,30.66731947660445,0.007646718577455,0.0062631231043369,0.0104859412830566,0.0094991326332092,320.0,480.0,0.5,321,5,3,0.2,,,0.8071596303191209,0.1808943259505433,0.5428531483470487,1.1015288424065903,0.2336118541425206,0.1228510241959123,0.1041131008302109,0.4673717391235009,1.789889368479746,0.8916395507569914,0.8228576094469625,2.916863806996823
