dose_id,angle,uva_mw_cm2,uvb_mw_cm2,samples_total,samples_used,trim_fraction,mean_reflectance,median_reflectance,min_reflectance,max_reflectance,range_reflectance,area_reflectance,mean_std,median_std,mean_mad,median_mad,wavelength_lower_nm,wavelength_upper_nm,wavelength_step_nm,wavelength_point_count
dose_1,12Oclock,0.0,0.0,5,3,0.2,0.17159284790542648,0.1698622653881708,0.135025198260943,0.2204218904177347,0.08539669215679169,27.45324450482925,0.010428186438736603,0.0101603593483379,0.009090786086064596,0.0084179043769836,320.0,480.0,0.5,321
dose_1,6Oclock,0.0,0.0,5,3,0.2,0.196686684079507,0.193989560008049,0.1622904663284619,0.2494212239980697,0.08713075766960782,31.466029084598006,0.07024431781239915,0.0696297160148346,0.05130200050887289,0.0463902354240418,320.0,480.0,0.5,321
dose_2,12Oclock,0.647,0.246,5,3,0.2,0.11937570563388891,0.116236555079619,0.0823186188936233,0.1714472969373067,0.08912867804368341,19.097512453794472,0.01506487291807693,0.0135924116733271,0.020708520487647167,0.0183655247092246,320.0,480.0,0.5,321
dose_2,6Oclock,0.647,0.246,5,3,0.2,0.1929649684427311,0.188023214538892,0.1420767034093538,0.273032675186793,0.13095597177743917,30.867100090409295,0.04948097514092516,0.0477546948630402,0.057010276805946,0.0538987219333648,320.0,480.0,0.5,321
dose_3,12Oclock,1.095,0.338,5,3,0.2,0.13438942969650017,0.1327072257796923,0.0917900900046029,0.1919181396563848,0.10012804965178189,21.5002300950388,0.03482112498598126,0.034024509843446,0.009424677565461718,0.0083600208163261,320.0,480.0,0.5,321
dose_3,6Oclock,1.095,0.338,5,3,0.2,0.14629705354710607,0.1428341716527938,0.10530187189579,0.2087776263554891,0.1034757544596991,23.40290417025486,0.03952499478288548,0.0392764419026331,0.03992719263581101,0.0344264730811119,320.0,480.0,0.5,321
dose_4,12Oclock,1.692,0.584,5,3,0.2,0.14767942490947822,0.1476554820934931,0.1002545505762099,0.2037486284971236,0.10349407792091371,23.62865070998669,0.007377930283897705,0.0077620732366756,0.010963967980996815,0.0131414383649826,320.0,480.0,0.5,321
dose_4,6Oclock,1.692,0.584,5,3,0.2,0.16187238372158283,0.1599117914835611,0.1169803217053413,0.2190996905167896,0.1021193688114483,25.897803159430627,0.021386140457313556,0.0202663724679344,0.02505593229305706,0.0255786180496216,320.0,480.0,0.5,321
dose_5,12Oclock,2.488,0.768,5,3,0.2,0.2164129017390939,0.2156298806269962,0.1739236811796823,0.2699529429276784,0.09602926174799611,34.6246092071136,0.022207993239729926,0.0235183064589791,0.03032141176525305,0.0330484509468078,320.0,480.0,0.5,321
dose_5,6Oclock,2.488,0.768,5,3,0.2,0.19168621464124724,0.1900860667228698,0.1420152982076008,0.2550933162371318,0.11307801802953096,30.66731947660445,0.007646718577455059,0.0062631231043369,0.010485941283056644,0.0094991326332092,320.0,480.0,0.5,321
dose_6,12Oclock,3.185,0.707,5,3,0.2,0.21219552810442147,0.2108886589606602,0.1617513795693715,0.2745656768480937,0.11281429727872219,33.949013809363024,0.01816872972839585,0.0225048962077876,0.006440822255574236,0.0056709945201873,320.0,480.0,0.5,321
dose_6,6Oclock,3.185,0.707,5,3,0.2,0.22394718635181263,0.2224677850802739,0.1643764823675155,0.2940952926874161,0.12971881031990057,35.8290749055644,0.047328695621435116,0.0458941967454017,0.02820120361920827,0.0213702023029327,320.0,480.0,0.5,321
