dose_id,kind,uva_mw_cm2,uvb_mw_cm2,mean_reflectance,median_reflectance,min_reflectance,max_reflectance,range_reflectance,area_reflectance,mean_std,median_std,mean_mad,median_mad,wavelength_lower_nm,wavelength_upper_nm,wavelength_step_nm,wavelength_point_count,samples_total,samples_used,trim_fraction_x,samples_12,samples_6,treatment,trim_fraction_y,sample_count,latent_total_mean,latent_total_sd,latent_total_n_used,latent_total_se_median,latent_oxidized_mean,latent_oxidized_sd,latent_oxidized_n_used,latent_oxidized_se_median,latent_reduced_mean,latent_reduced_sd,latent_reduced_n_used,latent_reduced_se_median
dose_1,12Oclock,0.0,0.0,0.1715928479054264,0.1698622653881708,0.135025198260943,0.2204218904177347,0.0853966921567916,27.45324450482925,0.0104281864387366,0.0101603593483379,0.0090907860860645,0.0084179043769836,320.0,480.0,0.5,321,5,3,0.2,,,treatment_6,0.2,5,0.2810129500194107,0.263811430894916,3,0.0446463019080942,0.0427701813864519,0.2117961058264948,3,0.0564582210171518,0.7681672470958714,0.1953464449778804,3,0.1147874381848128
dose_1,6Oclock,0.0,0.0,0.196686684079507,0.193989560008049,0.1622904663284619,0.2494212239980697,0.0871307576696078,31.46602908459801,0.0702443178123991,0.0696297160148346,0.0513020005088728,0.0463902354240418,320.0,480.0,0.5,321,5,3,0.2,,,treatment_6,0.2,5,0.2810129500194107,0.263811430894916,3,0.0446463019080942,0.0427701813864519,0.2117961058264948,3,0.0564582210171518,0.7681672470958714,0.1953464449778804,3,0.1147874381848128
dose_2,12Oclock,0.647,0.246,0.1193757056338889,0.116236555079619,0.0823186188936233,0.1714472969373067,0.0891286780436834,19.097512453794472,0.0150648729180769,0.0135924116733271,0.0207085204876471,0.0183655247092246,320.0,480.0,0.5,321,5,3,0.2,,,treatment_5,0.2,5,0.6936283724299851,0.0963352538278375,3,0.0446463019080942,0.2717403996762782,0.0573585856702815,3,0.0564582210171518,1.3671005706503028,0.228173426510173,3,0.1147874381848128
dose_2,6Oclock,0.647,0.246,0.1929649684427311,0.188023214538892,0.1420767034093538,0.273032675186793,0.1309559717774391,30.867100090409295,0.0494809751409251,0.0477546948630402,0.057010276805946,0.0538987219333648,320.0,480.0,0.5,321,5,3,0.2,,,treatment_5,0.2,5,0.6936283724299851,0.0963352538278375,3,0.0446463019080942,0.2717403996762782,0.0573585856702815,3,0.0564582210171518,1.3671005706503028,0.228173426510173,3,0.1147874381848128
dose_3,12Oclock,1.095,0.338,0.1343894296965001,0.1327072257796923,0.0917900900046029,0.1919181396563848,0.1001280496517818,21.5002300950388,0.0348211249859812,0.034024509843446,0.0094246775654617,0.0083600208163261,320.0,480.0,0.5,321,5,3,0.2,,,treatment_4,0.2,5,0.7483282619584828,0.12643908308259,3,0.0446463019080942,0.5277260798430093,0.3216082380312102,3,0.0564582210171518,1.2058464914293516,0.1139825808438405,3,0.1147874381848128
dose_3,6Oclock,1.095,0.338,0.146297053547106,0.1428341716527938,0.10530187189579,0.2087776263554891,0.1034757544596991,23.40290417025486,0.0395249947828854,0.0392764419026331,0.039927192635811,0.0344264730811119,320.0,480.0,0.5,321,5,3,0.2,,,treatment_4,0.2,5,0.7483282619584828,0.12643908308259,3,0.0446463019080942,0.5277260798430093,0.3216082380312102,3,0.0564582210171518,1.2058464914293516,0.1139825808438405,3,0.1147874381848128
dose_4,12Oclock,1.692,0.584,0.1476794249094782,0.1476554820934931,0.1002545505762099,0.2037486284971236,0.1034940779209137,23.62865070998669,0.0073779302838977,0.0077620732366756,0.0109639679809968,0.0131414383649826,320.0,480.0,0.5,321,5,3,0.2,,,treatment_3,0.2,5,0.9575543551063278,0.0826953761086635,3,0.0446463019080942,0.6169439039471617,0.4544525358843931,3,0.0564582210171518,1.4865964185014873,0.0887429222233571,3,0.1147874381848128
dose_4,6Oclock,1.692,0.584,0.1618723837215828,0.1599117914835611,0.1169803217053413,0.2190996905167896,0.1021193688114483,25.897803159430627,0.0213861404573135,0.0202663724679344,0.025055932293057,0.0255786180496216,320.0,480.0,0.5,321,5,3,0.2,,,treatment_3,0.2,5,0.9575543551063278,0.0826953761086635,3,0.0446463019080942,0.6169439039471617,0.4544525358843931,3,0.0564582210171518,1.4865964185014873,0.0887429222233571,3,0.1147874381848128
dose_5,12Oclock,2.488,0.768,0.2164129017390939,0.2156298806269962,0.1739236811796823,0.2699529429276784,0.0960292617479961,34.6246092071136,0.0222079932397299,0.0235183064589791,0.030321411765253,0.0330484509468078,320.0,480.0,0.5,321,5,3,0.2,,,treatment_2,0.2,5,0.7703884531900113,0.1588399890691924,3,0.0446463019080942,0.2564118421200415,0.1179656580253241,3,0.0564582210171518,1.6468713683101186,0.7074711278564323,3,0.1147874381848128
dose_5,6Oclock,2.488,0.768,0.1916862146412472,0.1900860667228698,0.1420152982076008,0.2550933162371318,0.1130780180295309,30.66731947660445,0.007646718577455,0.0062631231043369,0.0104859412830566,0.0094991326332092,320.0,480.0,0.5,321,5,3,0.2,,,treatment_2,0.2,5,0.7703884531900113,0.1588399890691924,3,0.0446463019080942,0.2564118421200415,0.1179656580253241,3,0.0564582210171518,1.6468713683101186,0.7074711278564323,3,0.1147874381848128
dose_6,12Oclock,3.185,0.707,0.2121955281044214,0.2108886589606602,0.1617513795693715,0.2745656768480937,0.1128142972787221,33.949013809363024,0.0181687297283958,0.0225048962077876,0.0064408222555742,0.0056709945201873,320.0,480.0,0.5,321,5,3,0.2,,,treatment_1,0.2,5,0.8259586664709339,0.1462908579499511,3,0.0446463019080942,0.4458058245237565,0.1737871855729139,3,0.0564582210171518,1.391888412005273,0.6279159414045887,3,0.1147874381848128
dose_6,6Oclock,3.185,0.707,0.2239471863518126,0.2224677850802739,0.1643764823675155,0.2940952926874161,0.1297188103199005,35.8290749055644,0.0473286956214351,0.0458941967454017,0.0282012036192082,0.0213702023029327,320.0,480.0,0.5,321,5,3,0.2,,,treatment_1,0.2,5,0.8259586664709339,0.1462908579499511,3,0.0446463019080942,0.4458058245237565,0.1737871855729139,3,0.0564582210171518,1.391888412005273,0.6279159414045887,3,0.1147874381848128
dose_1,Sigma,0.0,0.0,0.1841397659924665,0.1818682675560315,0.1486578322947024,0.2349215572079022,0.0862637249131998,29.459636794713628,0.0355134779001617,0.0351329524873441,0.0261479004866253,0.0234106381642503,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,treatment_6,0.2,5,0.2810129500194107,0.263811430894916,3,0.0446463019080942,0.0427701813864519,0.2117961058264948,3,0.0564582210171518,0.7681672470958714,0.1953464449778804,3,0.1147874381848128
dose_1,Delta,0.0,0.0,-0.0250938361740805,-0.0245794504880905,-0.0324708968400955,-0.0211529086033502,0.0113179882367452,-4.012784579768775,0.0710269558003234,0.0702659049746883,0.0522958009732506,0.0468212763285007,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,treatment_6,0.2,5,0.2810129500194107,0.263811430894916,3,0.0446463019080942,0.0427701813864519,0.2117961058264948,3,0.0564582210171518,0.7681672470958714,0.1953464449778804,3,0.1147874381848128
dose_2,Sigma,0.647,0.246,0.15617033703831,0.1517168730497359,0.1121976611514885,0.2204306051135063,0.1082329439620177,24.98230627210192,0.0259015640146523,0.0246291264084612,0.0304920095220059,0.0285698016347813,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,treatment_5,0.2,5,0.6936283724299851,0.0963352538278375,3,0.0446463019080942,0.2717403996762782,0.0573585856702815,3,0.0564582210171518,1.3671005706503028,0.228173426510173,3,0.1147874381848128
dose_2,Delta,0.647,0.246,-0.0735892628088423,-0.0719548438986142,-0.1069508790969848,-0.0559519852201143,0.0509988938768704,-11.769587636614837,0.0518031280293048,0.0492582528169224,0.0609840190440118,0.0571396032695626,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,treatment_5,0.2,5,0.6936283724299851,0.0963352538278375,3,0.0446463019080942,0.2717403996762782,0.0573585856702815,3,0.0564582210171518,1.3671005706503028,0.228173426510173,3,0.1147874381848128
dose_3,Sigma,1.095,0.338,0.140343241621803,0.1375620315472284,0.0985459809501965,0.2003478830059369,0.1018019020557404,22.451567132646833,0.0263828578542708,0.0257328332407574,0.0205677212670435,0.0178043970986328,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,treatment_4,0.2,5,0.7483282619584828,0.12643908308259,3,0.0446463019080942,0.5277260798430093,0.3216082380312102,3,0.0564582210171518,1.2058464914293516,0.1139825808438405,3,0.1147874381848128
dose_3,Delta,1.095,0.338,-0.011907623850606,-0.0106872270504633,-0.0205234388510386,-0.0082657585541407,0.0122576802968978,-1.9026740752160496,0.0527657157085417,0.0514656664815149,0.041135442534087,0.0356087941972657,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,treatment_4,0.2,5,0.7483282619584828,0.12643908308259,3,0.0446463019080942,0.5277260798430093,0.3216082380312102,3,0.0564582210171518,1.2058464914293516,0.1139825808438405,3,0.1147874381848128
dose_4,Sigma,1.692,0.584,0.1547759043155306,0.1537836367885271,0.1086174361407756,0.2114241595069566,0.1028067233661809,24.763226934708666,0.0113968636296004,0.0105606026777014,0.0138118962419667,0.0143670453340396,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,treatment_3,0.2,5,0.9575543551063278,0.0826953761086635,3,0.0446463019080942,0.6169439039471617,0.4544525358843931,3,0.0564582210171518,1.4865964185014873,0.0887429222233571,3,0.1147874381848128
dose_4,Delta,1.692,0.584,-0.0141929588121045,-0.0142802000045775,-0.0194423149029414,-0.0109921346108119,0.0084501802921295,-2.2691524494439297,0.0227937272592009,0.0211212053554028,0.0276237924839335,0.0287340906680793,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,treatment_3,0.2,5,0.9575543551063278,0.0826953761086635,3,0.0446463019080942,0.6169439039471617,0.4544525358843931,3,0.0564582210171518,1.4865964185014873,0.0887429222233571,3,0.1147874381848128
dose_5,Sigma,2.488,0.768,0.2040495581901704,0.2025899564226467,0.1579694896936416,0.2625231295824051,0.1045536398887634,32.64596434185901,0.0118382878210544,0.0121296954826143,0.0161611193766782,0.016936496120142,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,treatment_2,0.2,5,0.7703884531900113,0.1588399890691924,3,0.0446463019080942,0.2564118421200415,0.1179656580253241,3,0.0564582210171518,1.6468713683101186,0.7074711278564323,3,0.1147874381848128
dose_5,Delta,2.488,0.768,0.0247266870978465,0.0256110727787017,0.0116411844889322,0.0334243327379226,0.0217831482489904,3.957289730509122,0.0236765756421089,0.0242593909652286,0.0323222387533565,0.0338729922402841,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,treatment_2,0.2,5,0.7703884531900113,0.1588399890691924,3,0.0446463019080942,0.2564118421200415,0.1179656580253241,3,0.0564582210171518,1.6468713683101186,0.7074711278564323,3,0.1147874381848128
dose_6,Sigma,3.185,0.707,0.2180713572281171,0.2166800349950789,0.1630639309684435,0.2843304847677549,0.1212665537993114,34.8890443574637,0.025562950194782,0.0253673507178043,0.014912126168431,0.0110046965462661,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,treatment_1,0.2,5,0.8259586664709339,0.1462908579499511,3,0.0446463019080942,0.4458058245237565,0.1737871855729139,3,0.0564582210171518,1.391888412005273,0.6279159414045887,3,0.1147874381848128
dose_6,Delta,3.185,0.707,-0.011751658247391,-0.0115444461504618,-0.0220728317896525,-0.0017675707737604,0.0203052610158921,-1.8800610962013329,0.0511259003895641,0.0507347014356086,0.0298242523368622,0.0220093930925322,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,treatment_1,0.2,5,0.8259586664709339,0.1462908579499511,3,0.0446463019080942,0.4458058245237565,0.1737871855729139,3,0.0564582210171518,1.391888412005273,0.6279159414045887,3,0.1147874381848128
