dose_id,composite,samples_12,samples_6,trim_fraction,uva_mw_cm2,uvb_mw_cm2,mean_reflectance,median_reflectance,min_reflectance,max_reflectance,range_reflectance,area_reflectance,mean_std,median_std,mean_mad,median_mad,wavelength_lower_nm,wavelength_upper_nm,wavelength_step_nm,wavelength_point_count
dose_1,Sigma,3,3,0.2,0.0,0.0,0.1841397659924665,0.1818682675560315,0.1486578322947024,0.2349215572079022,0.08626372491319981,29.459636794713628,0.035513477900161704,0.0351329524873441,0.026147900486625308,0.0234106381642503,320.0,480.0,0.5,321
dose_1,Delta,3,3,0.2,0.0,0.0,-0.025093836174080533,-0.0245794504880905,-0.0324708968400955,-0.0211529086033502,0.011317988236745298,-4.012784579768775,0.07102695580032346,0.0702659049746883,0.05229580097325067,0.0468212763285007,320.0,480.0,0.5,321
dose_2,Sigma,3,3,0.2,0.647,0.246,0.15617033703831,0.1517168730497359,0.1121976611514885,0.2204306051135063,0.10823294396201778,24.98230627210192,0.025901564014652385,0.0246291264084612,0.03049200952200592,0.0285698016347813,320.0,480.0,0.5,321
dose_2,Delta,3,3,0.2,0.647,0.246,-0.07358926280884233,-0.0719548438986142,-0.1069508790969848,-0.0559519852201143,0.050998893876870496,-11.769587636614837,0.051803128029304805,0.0492582528169224,0.06098401904401189,0.0571396032695626,320.0,480.0,0.5,321
dose_3,Sigma,3,3,0.2,1.095,0.338,0.14034324162180306,0.1375620315472284,0.0985459809501965,0.2003478830059369,0.1018019020557404,22.451567132646833,0.02638285785427087,0.0257328332407574,0.0205677212670435,0.0178043970986328,320.0,480.0,0.5,321
dose_3,Delta,3,3,0.2,1.095,0.338,-0.011907623850606017,-0.0106872270504633,-0.0205234388510386,-0.0082657585541407,0.012257680296897899,-1.9026740752160494,0.05276571570854179,0.0514656664815149,0.04113544253408706,0.0356087941972657,320.0,480.0,0.5,321
dose_4,Sigma,3,3,0.2,1.692,0.584,0.15477590431553068,0.1537836367885271,0.1086174361407756,0.2114241595069566,0.10280672336618099,24.763226934708662,0.011396863629600427,0.0105606026777014,0.013811896241966748,0.0143670453340396,320.0,480.0,0.5,321
dose_4,Delta,3,3,0.2,1.692,0.584,-0.01419295881210454,-0.0142802000045775,-0.0194423149029414,-0.0109921346108119,0.008450180292129501,-2.2691524494439297,0.0227937272592009,0.0211212053554028,0.027623792483933533,0.0287340906680793,320.0,480.0,0.5,321
dose_5,Sigma,3,3,0.2,2.488,0.768,0.20404955819017043,0.2025899564226467,0.1579694896936416,0.2625231295824051,0.10455363988876348,32.64596434185901,0.011838287821054446,0.0121296954826143,0.016161119376678225,0.016936496120142,320.0,480.0,0.5,321
dose_5,Delta,3,3,0.2,2.488,0.768,0.0247266870978465,0.0256110727787017,0.0116411844889322,0.0334243327379226,0.0217831482489904,3.957289730509122,0.023676575642108937,0.0242593909652286,0.03232223875335651,0.0338729922402841,320.0,480.0,0.5,321
dose_6,Sigma,3,3,0.2,3.185,0.707,0.21807135722811719,0.2166800349950789,0.1630639309684435,0.2843304847677549,0.12126655379931142,34.8890443574637,0.02556295019478205,0.0253673507178043,0.014912126168431081,0.0110046965462661,320.0,480.0,0.5,321
dose_6,Delta,3,3,0.2,3.185,0.707,-0.011751658247391087,-0.0115444461504618,-0.0220728317896525,-0.0017675707737604,0.0203052610158921,-1.8800610962013327,0.05112590038956414,0.0507347014356086,0.02982425233686221,0.0220093930925322,320.0,480.0,0.5,321
