target,kind,band_label,role,rmse_recomputed,mae_recomputed,rmse_catalogue,rmse_loocv_catalogue,max_pred_delta,within_tolerance,loocv_available
chrom_oxidized,Sigma,peak_band_auto,reporting,0.03659961174673222,0.024525934986564687,0.03659961174673222,0.07478960484612507,4.163336342344337e-17,True,True
dad_oxidized,Sigma,peak_band_auto,reporting,0.07477386405913505,0.05542927616103115,0.07477386405913505,0.16612863856923527,1.1102230246251565e-16,True,True
chrom_total,12Oclock,320_480nm,reporting,0.16587509613106055,0.11492353960005869,0.16587509613106055,0.30298004218838914,0.0,True,True
dad_total,Sigma,peak_band_auto,reporting,0.19956935640759682,0.19802041940499115,0.19956935640759682,0.553726739001856,2.220446049250313e-16,True,True
latent_total,Sigma,peak_band_auto,reporting,0.10471210711332465,0.10356035130897957,0.10471210711332465,0.28956124254279486,1.1102230246251565e-16,True,True
