window,kind,modality,dcor_statistic,dcor_permutation_p,procrustes_permutation_p,rv_value,rv_permutation_p,multiblock_blocks_used,multiblock_joint_components,multiblock_warning,component,band_label,baseline_rmse_loocv,baseline_mae_loocv,feature_set,model_type,band_lower_nm,band_upper_nm
320_480nm,12Oclock,chrom,0.6266651739895731,0.9133086691330868,0.7164283571642835,0.3513262173657682,0.7691230876912308,"['12Oclock', '6Oclock']",1,,total,360_410nm,1.7473622791942651,1.4483732114451942,phase6,linear,,
320_480nm,12Oclock,dad,0.5084312380567101,0.9616038396160383,0.8499150084991501,0.1326906398567709,0.8745125487451255,"['12Oclock', '6Oclock']",1,,total,360_410nm,3.264289869954856,2.705684614189614,phase6,linear,,
320_480nm,12Oclock,latent,0.5755027985076775,0.9433056694330568,0.792020797920208,0.2258032943494582,0.8586141385861414,"['12Oclock', '6Oclock']",1,,total,360_410nm,1.6397245791729544,1.3591515546909163,phase6,linear,,
320_480nm,6Oclock,chrom,0.760523690295844,0.1381861813818618,0.0931906809319068,1.135283948055131,0.1412858714128587,"['12Oclock', '6Oclock']",1,,total,360_410nm,3.2237663725435652,1.8542210470518787,phase6,linear,,
320_480nm,6Oclock,dad,0.600072328618511,0.5615438456154385,0.3035696430356964,0.7249344558773894,0.3997600239976002,"['12Oclock', '6Oclock']",1,,total,360_410nm,1.903054203678887,1.0882451808919351,phase6,linear,,
320_480nm,6Oclock,latent,0.686618222680795,0.3351664833516648,0.1666833316668333,0.9274932153400924,0.2557744225577442,"['12Oclock', '6Oclock']",1,,total,360_410nm,2.0483559785151657,1.1764948559948152,phase6,linear,,
320_480nm,Delta,chrom,0.6933106229689188,0.2996700329967003,0.4408559144085591,0.6959704977110209,0.2977702229777022,"['12Oclock', '6Oclock']",1,,total,360_410nm,11.06608631240086,5.579065083095855,phase6,linear,,
320_480nm,Delta,dad,0.5712768073072175,0.4222577742225777,0.3955604439556044,0.4645497032914408,0.3577642235776422,"['12Oclock', '6Oclock']",1,,total,360_410nm,20.76226230370879,10.502057485091214,phase6,linear,,
320_480nm,Delta,latent,0.6475840198139853,0.3317668233176682,0.4191580841915808,0.588736803781604,0.3192680731926807,"['12Oclock', '6Oclock']",1,,total,360_410nm,10.45573759506209,5.276123041848492,phase6,linear,,
320_480nm,Sigma,chrom,0.7451038912928127,0.2300769923007699,0.0953904609539046,1.1446011498283473,0.1444855514448555,"['12Oclock', '6Oclock']",1,,total,360_410nm,0.0985508384484339,0.0878176535566252,phase6,linear,,
320_480nm,Sigma,dad,0.6088256847417398,0.4634536546345365,0.2887711228877112,0.8348252141532411,0.2664733526647335,"['12Oclock', '6Oclock']",1,,total,360_410nm,0.1616458156021667,0.1440409449476479,phase6,linear,,
320_480nm,Sigma,latent,0.6868229599491834,0.3395660433956604,0.1641835816418358,0.990688407070575,0.1932806719328067,"['12Oclock', '6Oclock']",1,,total,360_410nm,0.0808704025012429,0.072062796209573,phase6,linear,,
320_480nm,12Oclock,chrom,0.6266651739895731,0.9133086691330868,0.7164283571642835,0.3513262173657682,0.7691230876912308,"['12Oclock', '6Oclock']",1,,total,320_480nm,0.3029800421883891,0.2210670735505686,phase9,ridge,320.0,480.0
320_480nm,12Oclock,chrom,0.6266651739895731,0.9133086691330868,0.7164283571642835,0.3513262173657682,0.7691230876912308,"['12Oclock', '6Oclock']",1,,oxidized,320_480nm,0.1806608087136982,0.1626920871358852,phase9,ridge,320.0,480.0
320_480nm,12Oclock,chrom,0.6266651739895731,0.9133086691330868,0.7164283571642835,0.3513262173657682,0.7691230876912308,"['12Oclock', '6Oclock']",1,,reduced,320_480nm,0.5589624339306488,0.4027199718637472,phase9,ridge,320.0,480.0
320_480nm,12Oclock,chrom,0.6266651739895731,0.9133086691330868,0.7164283571642835,0.3513262173657682,0.7691230876912308,"['12Oclock', '6Oclock']",1,,total,360_410nm,0.3486812491307092,0.2884757252273468,phase9,ridge,360.0,410.0
320_480nm,12Oclock,chrom,0.6266651739895731,0.9133086691330868,0.7164283571642835,0.3513262173657682,0.7691230876912308,"['12Oclock', '6Oclock']",1,,oxidized,360_410nm,0.2231273894117203,0.2131099502746482,phase9,ridge,360.0,410.0
320_480nm,12Oclock,chrom,0.6266651739895731,0.9133086691330868,0.7164283571642835,0.3513262173657682,0.7691230876912308,"['12Oclock', '6Oclock']",1,,reduced,360_410nm,0.6058458660143509,0.4934547554777082,phase9,ridge,360.0,410.0
