modality,metric,slope,p_value
chrom,chrom_total_mean,0.0268002014745015,0.9596837438306192
chrom,chrom_oxidized_mean,-0.2035725198910705,0.6374034240886004
chrom,chrom_reduced_mean,0.3163448039436076,0.6820320532404005
dad,dad_total_mean,-0.1146847093636546,0.9074118860333528
dad,dad_oxidized_mean,-0.179055113669942,0.8345239174604141
dad,dad_reduced_mean,0.0968570572394718,0.9084911703866196
latent,latent_total_mean,-0.0062713889527665,0.990062114188168
latent,latent_oxidized_mean,-0.1518269319482469,0.7411714594382868
latent,latent_reduced_mean,0.193863056837571,0.770033259985119
