window,kind,modality,pca_components_reflectance,pca_components_concentration,pca_components_used,pca_variance_reflectance,pca_variance_concentration,pca_variance_reflectance_used,pca_variance_concentration_used,procrustes_disparity,procrustes_permutation_exceedances,procrustes_permutation_p,rv_value,rv_permutation_exceedances,rv_permutation_p,pls_components,pls_covariance,pls_warning,permutations,random_seed,zero_variance_reflectance,zero_variance_concentration,shape_warning
320_480nm,Sigma,chrom,2,2,2,"[0.5594443056627559, 0.29320884002795966]","[0.7804067781825154, 0.21633870932167354]","[0.5594443056627559, 0.29320884002795966]","[0.7804067781825154, 0.21633870932167354]",0.4932935009232232,953,0.0953904609539046,1.1446011498283473,1444,0.1444855514448555,2,3.817703415028737,,10000,42,[],[],
320_480nm,Sigma,dad,2,2,2,"[0.5594443056627559, 0.29320884002795966]","[0.8918025003080094, 0.10736489695028076]","[0.5594443056627559, 0.29320884002795966]","[0.8918025003080094, 0.10736489695028076]",0.6721538868500201,2887,0.2887711228877112,0.8348252141532411,2664,0.2664733526647335,2,3.2716945934477617,,10000,42,[],[],
320_480nm,Sigma,latent,2,2,2,"[0.5594443056627559, 0.29320884002795966]","[0.8399910299774545, 0.15857780112133193]","[0.5594443056627559, 0.29320884002795966]","[0.8399910299774545, 0.15857780112133193]",0.5756599391230521,1641,0.1641835816418358,0.990688407070575,1932,0.1932806719328067,2,3.6699314714974816,,10000,42,[],[],
320_480nm,Delta,chrom,2,2,2,"[0.7376799328351327, 0.16299440295685594]","[0.7804067781825154, 0.21633870932167354]","[0.7376799328351327, 0.16299440295685594]","[0.7804067781825154, 0.21633870932167354]",0.7314190111726255,4408,0.4408559144085591,0.6959704977110209,2977,0.2977702229777022,2,3.781677083376667,,10000,42,[],[],
320_480nm,Delta,dad,2,2,2,"[0.7376799328351327, 0.16299440295685594]","[0.8918025003080094, 0.10736489695028076]","[0.7376799328351327, 0.16299440295685594]","[0.8918025003080094, 0.10736489695028076]",0.751432539071417,3955,0.3955604439556044,0.4645497032914408,3577,0.3577642235776422,2,3.4655362588904217,,10000,42,[],[],
320_480nm,Delta,latent,2,2,2,"[0.7376799328351327, 0.16299440295685594]","[0.8399910299774545, 0.15857780112133193]","[0.7376799328351327, 0.16299440295685594]","[0.8399910299774545, 0.15857780112133193]",0.7381213101521145,4191,0.4191580841915808,0.588736803781604,3192,0.3192680731926807,2,3.6428660011512033,,10000,42,[],[],
320_480nm,12Oclock,chrom,2,2,2,"[0.5299275892494969, 0.22073430480472925]","[0.7804067781825154, 0.21633870932167354]","[0.5299275892494969, 0.22073430480472925]","[0.7804067781825154, 0.21633870932167354]",0.8206889227985177,7164,0.7164283571642835,0.3513262173657682,7691,0.7691230876912308,2,2.517974796932014,,10000,42,[],[],
320_480nm,12Oclock,dad,2,2,2,"[0.5299275892494969, 0.22073430480472925]","[0.8918025003080094, 0.10736489695028076]","[0.5299275892494969, 0.22073430480472925]","[0.8918025003080094, 0.10736489695028076]",0.9194946778271192,8499,0.8499150084991501,0.1326906398567709,8745,0.8745125487451255,2,1.3602325768393355,,10000,42,[],[],
320_480nm,12Oclock,latent,2,2,2,"[0.5299275892494969, 0.22073430480472925]","[0.8399910299774545, 0.15857780112133193]","[0.5299275892494969, 0.22073430480472925]","[0.8399910299774545, 0.15857780112133193]",0.8667621770476254,7920,0.792020797920208,0.2258032943494582,8586,0.8586141385861414,2,2.100437453724917,,10000,42,[],[],
320_480nm,6Oclock,chrom,2,2,2,"[0.5414350374958822, 0.347937690740806]","[0.7804067781825154, 0.21633870932167354]","[0.5414350374958822, 0.347937690740806]","[0.7804067781825154, 0.21633870932167354]",0.4841626770304895,931,0.0931906809319068,1.135283948055131,1412,0.1412858714128587,2,4.192141218534693,,10000,42,[],[],
320_480nm,6Oclock,dad,2,2,2,"[0.5414350374958822, 0.347937690740806]","[0.8918025003080094, 0.10736489695028076]","[0.5414350374958822, 0.347937690740806]","[0.8918025003080094, 0.10736489695028076]",0.6750956479066704,3035,0.3035696430356964,0.7249344558773894,3997,0.3997600239976002,2,3.477193929665406,,10000,42,[],[],
320_480nm,6Oclock,latent,2,2,2,"[0.5414350374958822, 0.347937690740806]","[0.8399910299774545, 0.15857780112133193]","[0.5414350374958822, 0.347937690740806]","[0.8399910299774545, 0.15857780112133193]",0.576553926704798,1666,0.1666833316668333,0.9274932153400924,2557,0.2557744225577442,2,4.003692785657649,,10000,42,[],[],
