target,kind,rmse_loocv,mae_loocv
chrom_total,12Oclock,1.7473622791942651,1.4483732114451942
chrom_total,6Oclock,3.2237663725435652,1.8542210470518787
chrom_total,Sigma,0.0985508384484339,0.0878176535566252
chrom_total,Delta,11.06608631240086,5.579065083095855
dad_total,12Oclock,3.264289869954856,2.705684614189614
dad_total,6Oclock,1.903054203678887,1.0882451808919351
dad_total,Sigma,0.1616458156021667,0.1440409449476479
dad_total,Delta,20.76226230370879,10.502057485091214
latent_total,12Oclock,1.6397245791729544,1.3591515546909163
latent_total,6Oclock,2.0483559785151657,1.1764948559948152
latent_total,Sigma,0.0808704025012429,0.072062796209573
latent_total,Delta,10.45573759506209,5.276123041848492
