dose_id,kind,band_label,band_lower_nm,band_upper_nm,uva_mw_cm2,uvb_mw_cm2,source,band_mean,band_median,band_min,band_max,band_range,band_area
dose_1,12Oclock,360_410nm,360.0,410.0,0.0,0.0,angle,0.1654334850732249,0.1654437084992726,0.1552320073048273,0.1744363456964492,0.01920433839162189,8.2720116811494
dose_1,6Oclock,360_410nm,360.0,410.0,0.0,0.0,angle,0.18975154332595282,0.1897932986418405,0.1793732295433679,0.1998605777819951,0.02048734823862719,9.488143147279814
dose_2,12Oclock,360_410nm,360.0,410.0,0.647,0.246,angle,0.11185083725173083,0.1116684476534525,0.1028243650992711,0.1218000799417495,0.018975714842478397,5.592502007881797
dose_2,6Oclock,360_410nm,360.0,410.0,0.647,0.246,angle,0.1795943767422496,0.1793718189001083,0.1627186263600984,0.1949891597032546,0.03227053334315619,8.980260607476032
dose_3,12Oclock,360_410nm,360.0,410.0,1.095,0.338,angle,0.12763632064310232,0.1272832428415616,0.1164994835853576,0.1385460843642552,0.0220466007788976,6.382066685085491
dose_3,6Oclock,360_410nm,360.0,410.0,1.095,0.338,angle,0.13751492895210526,0.1369135851661363,0.1259388476610183,0.1489156782627105,0.0229768306016922,6.876201304296647
dose_4,12Oclock,360_410nm,360.0,410.0,1.692,0.584,angle,0.14108106548046506,0.1407451927661895,0.1278052230676015,0.1532111018896103,0.025405878822008787,7.05440288285414
dose_4,6Oclock,360_410nm,360.0,410.0,1.692,0.584,angle,0.15446706049808173,0.1545080443223317,0.1421411956350008,0.1652130732933679,0.0230718776583671,7.723941309377547
dose_5,12Oclock,360_410nm,360.0,410.0,2.488,0.768,angle,0.2102803143829402,0.2105537106593449,0.1989072610934575,0.2200702875852584,0.021163026491800907,10.514566086232657
dose_5,6Oclock,360_410nm,360.0,410.0,2.488,0.768,angle,0.18224534775951115,0.1821172386407851,0.1666788359483083,0.1963445643583933,0.029665728410084996,9.112663843979435
dose_6,12Oclock,360_410nm,360.0,410.0,3.185,0.707,angle,0.20276454740231575,0.2025644928216934,0.1877607206503549,0.2176362375418345,0.029875516891479603,10.138260404268895
dose_6,6Oclock,360_410nm,360.0,410.0,3.185,0.707,angle,0.21392619737697513,0.2139100134372711,0.1963469038407007,0.2290562192598978,0.03270931541919711,10.69695045426488
dose_1,Sigma,360_410nm,360.0,410.0,0.0,0.0,composite,0.17759251419958885,0.1777632559339205,0.1673026184240976,0.1871484617392221,0.019845843315124484,8.880077414214608
dose_1,Delta,360_410nm,360.0,410.0,0.0,0.0,composite,-0.024318058252727974,-0.024282231926918,-0.0257623493671417,-0.0232809036970139,0.0024814456701277993,-1.2161314661304132
dose_2,Sigma,360_410nm,360.0,410.0,0.647,0.246,composite,0.1457226069969902,0.1454974475006262,0.1327714957296848,0.1583946198225021,0.025623124092817307,7.286381307678915
dose_2,Delta,360_410nm,360.0,410.0,0.647,0.246,composite,-0.06774353949051874,-0.067660316824913,-0.0742016807198524,-0.0598942612608273,0.014307419459025104,-3.3877585995942336
dose_3,Sigma,360_410nm,360.0,410.0,1.095,0.338,composite,0.13257562479760382,0.1320515237748622,0.1212191656231879,0.1437308813134828,0.022511715690294906,6.62913399469107
dose_3,Delta,360_410nm,360.0,410.0,1.095,0.338,composite,-0.009878608309002945,-0.0099072754383086,-0.0113837992151578,-0.0082657585541407,0.0031180406610170994,-0.4941346192111547
dose_4,Sigma,360_410nm,360.0,410.0,1.692,0.584,composite,0.14777406298927342,0.1476396843791007,0.1349732093513012,0.1589652473727861,0.023992038021484918,7.3891720961158445
dose_4,Delta,360_410nm,360.0,410.0,1.692,0.584,composite,-0.013385995017616616,-0.0134052783250809,-0.0156697481870651,-0.0111734221378962,0.0044963260491689,-0.6695384265234049
dose_5,Sigma,360_410nm,360.0,410.0,2.488,0.768,composite,0.1962628310712256,0.1961301515499749,0.1827930485208829,0.2082074259718259,0.025414377450942993,9.813614965106048
dose_5,Delta,360_410nm,360.0,410.0,2.488,0.768,composite,0.028034966623428983,0.02837103108565,0.0230885446071624,0.0322284251451491,0.0091398805379867,1.401902242253222
dose_6,Sigma,360_410nm,360.0,410.0,3.185,0.707,composite,0.20834537238964543,0.2082372531294822,0.1920538122455278,0.2232896933952967,0.031235881149768885,10.417605429266887
dose_6,Delta,360_410nm,360.0,410.0,3.185,0.707,composite,-0.011161649974659281,-0.0113453318675359,-0.0131876468658448,-0.0085861831903457,0.0046014636754990994,-0.5586900499959763
