target,kind,band_label,dose_id,predicted,actual,subset_label
chrom_oxidized,Sigma,peak_band_auto,dose_5,0.3765081419000915,0.2336118541425206,peak_only
chrom_oxidized,Sigma,peak_band_auto,dose_6,0.32890901724817134,0.3933184159564671,peak_only
chrom_oxidized,Sigma,peak_band_auto,dose_1,0.42118045655166453,0.0901073162314349,peak_reflectance+continuum_depth
chrom_oxidized,Sigma,peak_band_auto,dose_2,0.37641520362745806,0.268739936889168,peak_reflectance+continuum_depth
chrom_oxidized,Sigma,peak_band_auto,dose_3,0.32027608771056143,0.5445087237422649,peak_reflectance+continuum_depth
chrom_oxidized,Sigma,peak_band_auto,dose_4,0.30828445416287875,0.6112001910362025,peak_reflectance+continuum_depth
chrom_oxidized,Sigma,peak_band_auto,dose_5,0.376346165718103,0.2336118541425206,peak_reflectance+continuum_depth
chrom_oxidized,Sigma,peak_band_auto,dose_6,0.32861116311051314,0.3933184159564671,peak_reflectance+continuum_depth
chrom_oxidized,Sigma,peak_band_auto,dose_1,0.04885205888480204,0.0901073162314349,peak_reflectance+fwhm_nm
chrom_oxidized,Sigma,peak_band_auto,dose_2,0.32376738966270313,0.268739936889168,peak_reflectance+fwhm_nm
chrom_oxidized,Sigma,peak_band_auto,dose_3,0.6431198334034534,0.5445087237422649,peak_reflectance+fwhm_nm
chrom_oxidized,Sigma,peak_band_auto,dose_4,0.4704873000325067,0.6112001910362025,peak_reflectance+fwhm_nm
chrom_oxidized,Sigma,peak_band_auto,dose_5,0.23260648505248582,0.2336118541425206,peak_reflectance+fwhm_nm
chrom_oxidized,Sigma,peak_band_auto,dose_6,0.41830434729397403,0.3933184159564671,peak_reflectance+fwhm_nm
chrom_oxidized,Sigma,peak_band_auto,dose_1,0.29683003139632547,0.0901073162314349,peak_reflectance+peak_wavelength_nm
chrom_oxidized,Sigma,peak_band_auto,dose_2,0.2329780372766237,0.268739936889168,peak_reflectance+peak_wavelength_nm
chrom_oxidized,Sigma,peak_band_auto,dose_3,0.5968399294247178,0.5445087237422649,peak_reflectance+peak_wavelength_nm
chrom_oxidized,Sigma,peak_band_auto,dose_4,0.5421425309284302,0.6112001910362025,peak_reflectance+peak_wavelength_nm
chrom_oxidized,Sigma,peak_band_auto,dose_5,0.26206851602694314,0.2336118541425206,peak_reflectance+peak_wavelength_nm
chrom_oxidized,Sigma,peak_band_auto,dose_6,0.2053259041729234,0.3933184159564671,peak_reflectance+peak_wavelength_nm
chrom_oxidized,Sigma,peak_band_auto,dose_1,0.2647463777557846,0.0901073162314349,peak_wavelength_nm+auc
chrom_oxidized,Sigma,peak_band_auto,dose_2,0.055172020106255104,0.268739936889168,peak_wavelength_nm+auc
chrom_oxidized,Sigma,peak_band_auto,dose_3,0.5564235904862755,0.5445087237422649,peak_wavelength_nm+auc
chrom_oxidized,Sigma,peak_band_auto,dose_4,0.5764279740583902,0.6112001910362025,peak_wavelength_nm+auc
chrom_oxidized,Sigma,peak_band_auto,dose_5,0.3172931792117595,0.2336118541425206,peak_wavelength_nm+auc
chrom_oxidized,Sigma,peak_band_auto,dose_6,0.22837172253558435,0.3933184159564671,peak_wavelength_nm+auc
chrom_oxidized,Sigma,peak_band_auto,dose_1,0.30092139889116254,0.0901073162314349,peak_wavelength_nm+continuum_depth
chrom_oxidized,Sigma,peak_band_auto,dose_2,0.24177336321849907,0.268739936889168,peak_wavelength_nm+continuum_depth
chrom_oxidized,Sigma,peak_band_auto,dose_3,0.6022574176872837,0.5445087237422649,peak_wavelength_nm+continuum_depth
chrom_oxidized,Sigma,peak_band_auto,dose_4,0.5373626175975232,0.6112001910362025,peak_wavelength_nm+continuum_depth
chrom_oxidized,Sigma,peak_band_auto,dose_5,0.2539036555683509,0.2336118541425206,peak_wavelength_nm+continuum_depth
chrom_oxidized,Sigma,peak_band_auto,dose_6,0.20071299190641412,0.3933184159564671,peak_wavelength_nm+continuum_depth
chrom_oxidized,Sigma,peak_band_auto,dose_1,0.13954888238611574,0.0901073162314349,peak_wavelength_nm+fwhm_nm
chrom_oxidized,Sigma,peak_band_auto,dose_2,0.2990969623685018,0.268739936889168,peak_wavelength_nm+fwhm_nm
chrom_oxidized,Sigma,peak_band_auto,dose_3,0.6775066087601971,0.5445087237422649,peak_wavelength_nm+fwhm_nm
chrom_oxidized,Sigma,peak_band_auto,dose_4,0.4755290517830266,0.6112001910362025,peak_wavelength_nm+fwhm_nm
chrom_oxidized,Sigma,peak_band_auto,dose_5,0.2252376269613805,0.2336118541425206,peak_wavelength_nm+fwhm_nm
chrom_oxidized,Sigma,peak_band_auto,dose_6,0.3327029499130916,0.3933184159564671,peak_wavelength_nm+fwhm_nm
