dose_id,kind,modality,reflectance_metric,reflectance_value,target_metric,target_value,window
dose_5,Sigma,dad,mean_std,0.0118382878210544,dad_total_sd,0.2832181748195522,320_480nm
dose_5,Delta,dad,mean_std,0.0236765756421089,dad_total_sd,0.2832181748195522,320_480nm
dose_6,Sigma,dad,mean_std,0.025562950194782,dad_total_sd,0.3244874163642878,320_480nm
dose_6,Delta,dad,mean_std,0.0511259003895641,dad_total_sd,0.3244874163642878,320_480nm
dose_1,12Oclock,dad,mean_mad,0.0090907860860645,dad_total_mad,0.227710441897443,320_480nm
dose_1,6Oclock,dad,mean_mad,0.0513020005088728,dad_total_mad,0.227710441897443,320_480nm
dose_2,12Oclock,dad,mean_mad,0.0207085204876471,dad_total_mad,0.271826125545423,320_480nm
dose_2,6Oclock,dad,mean_mad,0.057010276805946,dad_total_mad,0.271826125545423,320_480nm
dose_3,12Oclock,dad,mean_mad,0.0094246775654617,dad_total_mad,0.2501009364926483,320_480nm
dose_3,6Oclock,dad,mean_mad,0.039927192635811,dad_total_mad,0.2501009364926483,320_480nm
dose_4,12Oclock,dad,mean_mad,0.0109639679809968,dad_total_mad,0.2635628062355546,320_480nm
dose_4,6Oclock,dad,mean_mad,0.025055932293057,dad_total_mad,0.2635628062355546,320_480nm
dose_5,12Oclock,dad,mean_mad,0.030321411765253,dad_total_mad,0.2988549013514634,320_480nm
dose_5,6Oclock,dad,mean_mad,0.0104859412830566,dad_total_mad,0.2988549013514634,320_480nm
dose_6,12Oclock,dad,mean_mad,0.0064408222555742,dad_total_mad,0.3653999654700957,320_480nm
dose_6,6Oclock,dad,mean_mad,0.0282012036192082,dad_total_mad,0.3653999654700957,320_480nm
dose_1,Sigma,dad,mean_mad,0.0261479004866253,dad_total_mad,0.227710441897443,320_480nm
dose_1,Delta,dad,mean_mad,0.0522958009732506,dad_total_mad,0.227710441897443,320_480nm
dose_2,Sigma,dad,mean_mad,0.0304920095220059,dad_total_mad,0.271826125545423,320_480nm
dose_2,Delta,dad,mean_mad,0.0609840190440118,dad_total_mad,0.271826125545423,320_480nm
dose_3,Sigma,dad,mean_mad,0.0205677212670435,dad_total_mad,0.2501009364926483,320_480nm
dose_3,Delta,dad,mean_mad,0.041135442534087,dad_total_mad,0.2501009364926483,320_480nm
dose_4,Sigma,dad,mean_mad,0.0138118962419667,dad_total_mad,0.2635628062355546,320_480nm
