window,modality,metric,bias,loa_lower,loa_upper
320_480nm,chrom,chrom_total_mean,0.5916402004318724,0.11596261108636685,1.0673177897773778
320_480nm,chrom,chrom_oxidized_mean,0.2293793296511757,-0.19020241108661295,0.6489610703889643
320_480nm,chrom,chrom_reduced_mean,1.2026623491671435,0.5480765387789985,1.8572481595552885
320_480nm,dad,dad_total_mean,1.2535573298672984,0.4069434690268158,2.100171190707781
320_480nm,dad,dad_oxidized_mean,0.3957206319421323,-0.3497937946176987,1.1412350585019633
320_480nm,dad,dad_reduced_mean,1.6605611813230634,0.9391334025351712,2.381988960110956
320_480nm,latent,latent_total_mean,0.5852767665140246,0.1278789903790365,1.0426745426490127
320_480nm,latent,latent_oxidized_mean,0.23269796190094919,-0.2027566193041985,0.6681525431060968
320_480nm,latent,latent_reduced_mean,1.1835433413169,0.6121291937495594,1.7549574888842407
