PC1,PC2,matrix,kind,modality,window,dose_id
-0.520056590024359,2.834791008351689,reflectance,Sigma,chrom,320_480nm,dose_1
-2.236077679911992,0.9174750207355553,reflectance,Sigma,chrom,320_480nm,dose_2
-2.6230588541705795,-0.5944472314225233,reflectance,Sigma,chrom,320_480nm,dose_3
-0.8954840104599167,-2.725157973292721,reflectance,Sigma,chrom,320_480nm,dose_4
2.456148375274991,-0.8648975799305506,reflectance,Sigma,chrom,320_480nm,dose_5
3.8185287592918558,0.43223675555854946,reflectance,Sigma,chrom,320_480nm,dose_6
-3.0915658041000884,0.21051999452379377,chrom,Sigma,chrom,320_480nm,dose_1
-0.3846112881182893,-0.3745249788370532,chrom,Sigma,chrom,320_480nm,dose_2
0.37934867336400685,1.0713522358306389,chrom,Sigma,chrom,320_480nm,dose_3
1.8469954394922818,0.6069352413313551,chrom,Sigma,chrom,320_480nm,dose_4
0.6762888344656975,-1.4806111509330397,chrom,Sigma,chrom,320_480nm,dose_5
0.5735441448963914,-0.03367134191569407,chrom,Sigma,chrom,320_480nm,dose_6
-0.520056590024359,2.834791008351689,reflectance,Sigma,dad,320_480nm,dose_1
-2.236077679911992,0.9174750207355553,reflectance,Sigma,dad,320_480nm,dose_2
-2.6230588541705795,-0.5944472314225233,reflectance,Sigma,dad,320_480nm,dose_3
-0.8954840104599167,-2.725157973292721,reflectance,Sigma,dad,320_480nm,dose_4
2.456148375274991,-0.8648975799305506,reflectance,Sigma,dad,320_480nm,dose_5
3.8185287592918558,0.43223675555854946,reflectance,Sigma,dad,320_480nm,dose_6
-3.4546474023942473,-0.2374133553633988,dad,Sigma,dad,320_480nm,dose_1
0.04898657236436473,0.5962618094873231,dad,Sigma,dad,320_480nm,dose_2
0.46044902356038114,-0.6956386882347688,dad,Sigma,dad,320_480nm,dose_3
1.7376520419098667,-0.3643336573901077,dad,Sigma,dad,320_480nm,dose_4
0.32547390690384254,0.9242497285444308,dad,Sigma,dad,320_480nm,dose_5
0.8820858576557917,-0.22312583704347866,dad,Sigma,dad,320_480nm,dose_6
-0.520056590024359,2.834791008351689,reflectance,Sigma,latent,320_480nm,dose_1
-2.236077679911992,0.9174750207355553,reflectance,Sigma,latent,320_480nm,dose_2
-2.6230588541705795,-0.5944472314225233,reflectance,Sigma,latent,320_480nm,dose_3
-0.8954840104599167,-2.725157973292721,reflectance,Sigma,latent,320_480nm,dose_4
2.456148375274991,-0.8648975799305506,reflectance,Sigma,latent,320_480nm,dose_5
3.8185287592918558,0.43223675555854946,reflectance,Sigma,latent,320_480nm,dose_6
-3.2829976457490218,-0.22496141163314398,latent,Sigma,latent,320_480nm,dose_1
-0.2008985896513215,0.46846667874438924,latent,Sigma,latent,320_480nm,dose_2
