dose_id,kind,source,band_label,band_lower_nm,band_upper_nm,actual_band_lower_nm,actual_band_upper_nm,uva_mw_cm2,uvb_mw_cm2,trim_fraction,samples_total,samples_used,peak_reflectance,peak_wavelength_nm,auc,continuum_depth,fwhm_nm,max_curvature,fixed_peak_wavelength_nm,fixed_peak_reflectance,fixed_continuum_depth,samples_12,samples_6
dose_1,12Oclock,angle,360_410nm,360.0,410.0,360.0,410.0,0.0,0.0,0.2,5.0,3.0,0.1744363456964492,406.0,8.2720116811494,0.005982593943675396,32.5,0.011513049403826386,406.0,0.1744363456964492,-0.0016753524541854026,,
dose_2,12Oclock,angle,360_410nm,360.0,410.0,360.0,410.0,0.647,0.246,0.2,5.0,3.0,0.1218000799417495,406.0,5.592502007881797,0.00629870032270749,33.0,0.012426458299160004,406.0,0.1218000799417495,-0.0022203407684961984,,
dose_3,12Oclock,angle,360_410nm,360.0,410.0,360.0,410.0,1.095,0.338,0.2,5.0,3.0,0.1385460843642552,406.0,6.382066685085491,0.005500173295537647,32.5,0.011910413702329092,406.0,0.1385460843642552,-0.002477223376433052,,
dose_4,12Oclock,angle,360_410nm,360.0,410.0,360.0,410.0,1.692,0.584,0.2,5.0,3.0,0.1532111018896103,409.5,7.05440288285414,0.005115228096644164,32.5,0.010189746816952977,406.0,0.1527174214522043,-0.001771208842595351,,
dose_5,12Oclock,angle,360_410nm,360.0,410.0,360.0,410.0,2.488,0.768,0.2,5.0,3.0,0.2200702875852584,406.0,10.514566086232657,0.0036627677083014842,33.0,0.009252731998761476,406.0,0.2200702875852584,-0.002261959314346279,,
dose_6,12Oclock,angle,360_410nm,360.0,410.0,360.0,410.0,3.185,0.707,0.2,5.0,3.0,0.2176362375418345,410.0,10.138260404268895,0.005112891594568958,33.0,0.009793629248937008,406.0,0.2169600874185561,-0.001713891228039971,,
dose_1,6Oclock,angle,360_410nm,360.0,410.0,360.0,410.0,0.0,0.0,0.2,5.0,3.0,0.1998605777819951,406.0,9.488143147279814,0.005214189340670805,33.0,0.013242512941360474,406.0,0.1998605777819951,-0.003474060893058878,,
dose_2,6Oclock,angle,360_410nm,360.0,410.0,360.0,410.0,0.647,0.246,0.2,5.0,3.0,0.1949891597032546,406.0,8.980260607476032,0.00426324116686988,33.0,0.011757155259450286,406.0,0.1949891597032546,-0.0032128675778706206,,
dose_3,6Oclock,angle,360_410nm,360.0,410.0,360.0,410.0,1.095,0.338,0.2,5.0,3.0,0.1489156782627105,406.0,6.876201304296647,0.004776924898227036,33.0,0.013533793389797322,406.0,0.1489156782627105,-0.0033507136503855006,,
dose_4,6Oclock,angle,360_410nm,360.0,410.0,360.0,410.0,1.692,0.584,0.2,5.0,3.0,0.1652130732933679,406.0,7.723941309377547,0.004121785635749525,33.0,0.010148500402768407,406.0,0.1652130732933679,-0.002557173172632793,,
dose_5,6Oclock,angle,360_410nm,360.0,410.0,360.0,410.0,2.488,0.768,0.2,5.0,3.0,0.1963445643583933,406.0,9.112663843979435,0.005148004541794482,33.0,0.011404111981391879,406.0,0.1963445643583933,-0.0024823047717412172,,
dose_6,6Oclock,angle,360_410nm,360.0,410.0,360.0,410.0,3.185,0.707,0.2,5.0,3.0,0.2290562192598978,409.5,10.69695045426488,0.004148567666610092,33.0,0.011148522297541291,406.0,0.2287871539592743,-0.002451704343160055,,
dose_1,Delta,composite,360_410nm,360.0,410.0,360.0,410.0,0.0,0.0,0.2,,,-0.0232809036970139,375.0,-1.2161314661304132,0.0017987084388733782,46.0,0.0037714888652165997,406.0,-0.0254242320855458,0.0017987084388733782,3.0,3.0
dose_2,Delta,composite,360_410nm,360.0,410.0,360.0,410.0,0.647,0.246,0.2,,,-0.0598942612608273,360.0,-3.3877585995942336,0.0020445467780033783,47.0,0.002854675054550171,406.0,-0.0731890797615051,0.0009925268093745332,3.0,3.0
dose_3,Delta,composite,360_410nm,360.0,410.0,360.0,410.0,1.095,0.338,0.2,,,-0.0082657585541407,375.0,-0.4941346192111547,0.00192223270734148,47.0,0.003072403371333899,406.0,-0.0103695938984553,0.000873490273952459,3.0,3.0
dose_4,Delta,composite,360_410nm,360.0,410.0,360.0,410.0,1.692,0.584,0.2,,,-0.0111734221378962,408.5,-0.6695384265234049,0.0018998180826505402,36.5,0.0038392444451650007,406.0,-0.0124956518411636,0.0007859643300374315,3.0,3.0
dose_5,Delta,composite,360_410nm,360.0,410.0,360.0,410.0,2.488,0.768,0.2,,,0.0322284251451491,360.0,1.401902242253222,0.0016312142213184347,16.5,0.0037940492232640954,406.0,0.0237257232268651,0.00022034545739492775,3.0,3.0
dose_6,Delta,composite,360_410nm,360.0,410.0,360.0,410.0,3.185,0.707,0.2,,,-0.0085861831903457,360.0,-0.5586900499959763,0.0036220014095307666,17.5,0.0033460656801861995,406.0,-0.0118270665407181,0.0007378131151199955,3.0,3.0
dose_1,Sigma,composite,360_410nm,360.0,410.0,360.0,410.0,0.0,0.0,0.2,,,0.1871484617392221,406.0,8.880077414214608,0.005598391642173128,32.5,0.012377781172593277,406.0,0.1871484617392221,-0.0025747066736220847,3.0,3.0
dose_2,Sigma,composite,360_410nm,360.0,410.0,360.0,410.0,0.647,0.246,0.2,,,0.1583946198225021,406.0,7.286381307678915,0.005280970744788643,33.0,0.012091806779305214,406.0,0.1583946198225021,-0.002716604173183451,3.0,3.0
