dose_id,angle,band_label,wavelength_nm,reflectance
dose_1,12Oclock,320_480nm,366.5,0.1600402394930521
dose_1,12Oclock,320_480nm,367.0,0.1631035208702087
dose_1,12Oclock,320_480nm,367.5,0.1616225192944208
dose_1,12Oclock,320_480nm,368.0,0.1585056235392888
dose_1,12Oclock,320_480nm,368.5,0.1591277420520782
dose_1,12Oclock,320_480nm,369.0,0.1597339510917663
dose_1,12Oclock,320_480nm,369.5,0.1607828140258788
dose_1,12Oclock,320_480nm,370.0,0.1639437278111775
dose_1,12Oclock,320_480nm,370.5,0.1642871052026748
dose_1,12Oclock,320_480nm,371.0,0.162118524312973
dose_1,12Oclock,320_480nm,371.5,0.1647994766632715
dose_1,12Oclock,320_480nm,372.0,0.1661111960808435
dose_1,12Oclock,320_480nm,372.5,0.1640388170878092
dose_1,12Oclock,320_480nm,373.0,0.1645720402399698
dose_1,12Oclock,320_480nm,373.5,0.165735309322675
dose_1,12Oclock,320_480nm,374.0,0.1645692139863967
dose_1,12Oclock,320_480nm,374.5,0.1642496933539708
dose_1,12Oclock,320_480nm,375.0,0.1618599245945612
dose_1,12Oclock,320_480nm,375.5,0.16170068581899
dose_1,12Oclock,320_480nm,376.0,0.1586372057596842
dose_1,12Oclock,320_480nm,376.5,0.1574091414610544
dose_1,12Oclock,320_480nm,377.0,0.1588653077681859
dose_1,12Oclock,320_480nm,377.5,0.1621071894963581
dose_1,12Oclock,320_480nm,378.0,0.1653536210457483
dose_1,12Oclock,320_480nm,378.5,0.1637044797341028
dose_1,12Oclock,320_480nm,379.0,0.1635768214861551
dose_1,12Oclock,320_480nm,379.5,0.1641625414292017
dose_1,12Oclock,320_480nm,380.0,0.1634285549322763
dose_1,12Oclock,320_480nm,380.5,0.1622515817483265
dose_1,12Oclock,320_480nm,381.0,0.160710871219635
dose_1,12Oclock,320_480nm,381.5,0.1613953659931818
dose_1,12Oclock,320_480nm,382.0,0.1636677285035451
dose_1,12Oclock,320_480nm,382.5,0.1654437084992726
dose_1,12Oclock,320_480nm,383.0,0.1661845346291859
dose_1,12Oclock,320_480nm,383.5,0.1644084403912226
dose_1,12Oclock,320_480nm,384.0,0.1642255435387293
dose_1,12Oclock,320_480nm,384.5,0.1644554833571116
