dose_id,dose_order,auc,peak_reflectance,chrom_total_mg_per_gDW_trimmed_mean,dad_total_mg_per_gDW_trimmed_mean
dose_1,1,8.2720116811494,0.1744363456964492,0.27379686988609,0.5202563375770172
dose_2,2,5.592502007881797,0.1218000799417495,0.6702106062314132,1.4054024203995992
dose_3,3,6.382066685085491,0.1385460843642552,0.746940679793033,1.492350762046004
dose_4,4,7.05440288285414,0.1532111018896103,0.9855803035928415,1.8439993034629107
dose_5,5,10.514566086232657,0.2200702875852584,0.8071596303191209,1.4396078592597448
dose_6,6,10.138260404268896,0.2176362375418345,0.8313635728597397,1.5849377565495193
