dose_id,angle,band_label,wavelength_nm,continuum_minus_reflectance
dose_3,12Oclock,320_480nm,370.0,-0.003927616092066016
dose_3,12Oclock,320_480nm,370.5,-0.004288157215342009
dose_3,12Oclock,320_480nm,371.0,-0.001656232246508224
dose_3,12Oclock,320_480nm,371.5,-0.004021866169447719
dose_3,12Oclock,320_480nm,372.0,-0.005007548257708633
dose_3,12Oclock,320_480nm,372.5,-0.0025863604775320376
dose_3,12Oclock,320_480nm,373.0,-0.0029260846786201278
dose_3,12Oclock,320_480nm,373.5,-0.003896440922593142
dose_3,12Oclock,320_480nm,374.0,-0.0022169609243672256
dose_3,12Oclock,320_480nm,374.5,-0.0017133837100118399
dose_3,12Oclock,320_480nm,375.0,0.0005422074658174569
dose_3,12Oclock,320_480nm,375.5,0.0006496795297910585
dose_3,12Oclock,320_480nm,376.0,0.003874126821756349
dose_3,12Oclock,320_480nm,376.5,0.005443877152477655
dose_3,12Oclock,320_480nm,377.0,0.004867691391458026
dose_3,12Oclock,320_480nm,377.5,0.002124591187263533
dose_3,12Oclock,320_480nm,378.0,-0.0005128051464756422
dose_3,12Oclock,320_480nm,378.5,0.0013493879232555211
dose_3,12Oclock,320_480nm,379.0,0.0013083624653517367
dose_3,12Oclock,320_480nm,379.5,0.0006454097262273417
dose_3,12Oclock,320_480nm,380.0,0.0014781833936770294
dose_3,12Oclock,320_480nm,380.5,0.0030814737547188303
dose_3,12Oclock,320_480nm,381.0,0.004941804179300832
dose_3,12Oclock,320_480nm,381.5,0.004736913135275203
dose_3,12Oclock,320_480nm,382.0,0.0024777579431732033
dose_3,12Oclock,320_480nm,382.5,0.0011429664834091136
dose_3,12Oclock,320_480nm,383.0,0.0006325370632112304
dose_3,12Oclock,320_480nm,383.5,0.0026985730510204198
dose_3,12Oclock,320_480nm,384.0,0.0029126405715942105
dose_3,12Oclock,320_480nm,384.5,0.0030342141011108215
dose_3,12Oclock,320_480nm,385.0,0.0024266415275633058
dose_3,12Oclock,320_480nm,385.5,0.0020811853464692
dose_3,12Oclock,320_480nm,386.0,0.0030810854708154256
dose_3,12Oclock,320_480nm,386.5,0.003746658175562717
dose_3,12Oclock,320_480nm,387.0,-0.0013251483129957942
dose_3,12Oclock,320_480nm,387.5,-0.0021982148755342046
dose_3,12Oclock,320_480nm,388.0,-0.001173981154958481
dose_3,12Oclock,320_480nm,388.5,0.0031379528809337975
dose_3,12Oclock,320_480nm,389.0,0.004248076894630998
dose_3,12Oclock,320_480nm,389.5,0.002727460504199003
dose_3,12Oclock,320_480nm,390.0,0.0003038387124736919
dose_3,12Oclock,320_480nm,390.5,0.0028049066507566944
dose_3,12Oclock,320_480nm,391.0,0.0006336633426446969
dose_3,12Oclock,320_480nm,391.5,0.0023563343565910777
dose_3,12Oclock,320_480nm,392.0,0.004903710136810874
dose_3,12Oclock,320_480nm,392.5,0.004036708346878387
dose_3,12Oclock,320_480nm,393.0,0.003673711015532377
dose_3,12Oclock,320_480nm,393.5,0.004220248277609473
dose_3,12Oclock,320_480nm,394.0,0.006183866101006685
dose_3,12Oclock,320_480nm,394.5,0.006895704427733962
dose_3,12Oclock,320_480nm,395.0,0.0063445898704229675
dose_3,12Oclock,320_480nm,395.5,0.003472634358331478
dose_3,12Oclock,320_480nm,396.0,0.00029110225538406254
dose_3,12Oclock,320_480nm,396.5,0.002779295590395664
dose_3,12Oclock,320_480nm,397.0,0.002294431595752572
dose_3,12Oclock,320_480nm,397.5,0.0040077744827915485
dose_3,12Oclock,320_480nm,398.0,0.004147845320403548
dose_3,12Oclock,320_480nm,398.5,0.005942575866356464
dose_3,12Oclock,320_480nm,399.0,0.0036489195190369528
dose_3,12Oclock,320_480nm,399.5,0.0027406837325543443
dose_3,12Oclock,320_480nm,400.0,0.004494441052277864
dose_3,12Oclock,320_480nm,400.5,0.007379658442611431
dose_3,12Oclock,320_480nm,401.0,0.009454975370317642
dose_3,12Oclock,320_480nm,401.5,0.007515142128492358
dose_3,12Oclock,320_480nm,402.0,0.006211101698378629
dose_3,12Oclock,320_480nm,402.5,0.006427727251624021
dose_3,12Oclock,320_480nm,403.0,0.00847081296766794
dose_3,12Oclock,320_480nm,403.5,0.00903779213937611
dose_3,12Oclock,320_480nm,404.0,0.008833964044849124
dose_3,12Oclock,320_480nm,404.5,0.011246248381212326
dose_3,12Oclock,320_480nm,405.0,0.010683908282468707
dose_3,12Oclock,320_480nm,405.5,0.008399940173452025
dose_3,12Oclock,320_480nm,406.0,0.0035074070716897277
dose_3,12Oclock,320_480nm,406.5,0.0074687143011639145
dose_3,12Oclock,320_480nm,407.0,0.008241319563239813
dose_3,12Oclock,320_480nm,407.5,0.008376276819035328
dose_3,12Oclock,320_480nm,408.0,0.009414068112770596
dose_3,12Oclock,320_480nm,408.5,0.011224745384727897
dose_3,12Oclock,320_480nm,409.0,0.010146497283130801
dose_3,12Oclock,320_480nm,409.5,0.006237828250353489
dose_3,12Oclock,320_480nm,410.0,0.006620778081317696
dose_3,12Oclock,320_480nm,410.5,0.01023982550638411
dose_3,12Oclock,320_480nm,411.0,0.00934381612266097
dose_3,12Oclock,320_480nm,411.5,0.0033015963466216935
dose_3,12Oclock,320_480nm,412.0,0.005212081596255302
dose_3,12Oclock,320_480nm,412.5,0.009257694628710483
dose_3,12Oclock,320_480nm,413.0,0.013193073837707375
