target,modality,kind,band_label,component,band_lower_nm,band_upper_nm,model_type,estimator,n_samples,rmse,mae,r2,rmse_loocv,mae_loocv,coefficients,intercept,feature_columns
dad_oxidized,dad,12Oclock,360_410nm,oxidized,360.0,410.0,ridge,ridge,6,0.24659463858440564,0.19298680393090248,0.5237560599547033,0.42162299017901117,0.35955701773193516,"[-0.0004447604566682931, 0.14016726800696278, -0.06092424029189072, -0.0006370233273412425, 0.0157963001973985, -0.0004035857122210565, -0.0004626867633959558, -0.00031953697974105037]",-56.59010598092985,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_reduced,dad,12Oclock,360_410nm,reduced,360.0,410.0,ridge,ridge,6,0.29984392813029825,0.22981827904291743,0.2709804312890193,0.6118238865657327,0.4932302864985008,"[0.0001364907835645521, 0.06854712809258973, -0.011111740638868415, -0.0008432915951599973, 0.2146977442938732, -0.0006699911285542867, 0.00013729612021356205, -0.00034075868326908934]",-33.07030014665761,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
latent_total,latent,12Oclock,360_410nm,total,360.0,410.0,ridge,ridge,6,0.161982284489549,0.12554624011109627,0.40389237644364395,0.31678201192151834,0.25726060841358994,"[-0.000107946998243285, 0.0707562146810125, -0.019844600972481967, -0.000491922710118302, 0.06504593046416211, -0.0003738775073027396, -0.00011175930114074422, -0.0002010733441798057]",-30.07426298849114,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_total,chrom,12Oclock,peak_band_auto,total,300.0,600.0,ridge,ridge,6,0.19437157005579103,0.1566682914083441,0.22589131692800424,0.6605361613972354,0.5917693148605533,"[0.01983887099845093, -0.016359769241925223, 0.006565852587698136, 0.010391304799310294, -0.01107224203466542, -0.012789939374266422, 0.0, 0.0]",11.394476053297117,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_oxidized,chrom,12Oclock,peak_band_auto,oxidized,300.0,600.0,ridge,ridge,6,0.10827684538780293,0.0874013881523071,0.639897716454755,0.3722621720397087,0.3406561964571799,"[0.009747826361031116, -0.022513439172464147, 0.0015562083097181135, 0.004789914007848187, -0.0168488984226452, -0.006652100375505359, 0.0, 0.0]",15.774851858302554,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_reduced,chrom,12Oclock,peak_band_auto,reduced,300.0,600.0,ridge,ridge,6,0.2795736735605565,0.2181949866124883,0.24790311888249095,0.9813121066403204,0.8169987479595574,"[0.029977700480371385, 0.02898991317666957, 0.008493237393097843, 0.01633513360058577, -0.0037272471745710433, -0.018630864956040275, 0.0, 0.0]",-16.04193125708025,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_total,dad,12Oclock,peak_band_auto,total,300.0,600.0,ridge,ridge,6,0.36462268905270095,0.28742256378291625,0.21274697494640138,1.2189994355355223,1.0523108943594908,"[0.03855182848438198, -0.04610020136040943, 0.009726385635918641, 0.020635037560209762, -0.018859941454300286, -0.02436229614944356, 0.0, 0.0]",30.510847850247043,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_oxidized,dad,12Oclock,peak_band_auto,oxidized,300.0,600.0,ridge,ridge,6,0.23799563975109114,0.19081981260408573,0.5563911480816788,0.7763499922297527,0.7022378026112758,"[0.024226315351034304, -0.062041508957959894, 0.010009095671408497, 0.01259483795426861, -0.02839223516015255, -0.015702293953997516, 0.0, 0.0]",40.331570820559065,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_reduced,dad,12Oclock,peak_band_auto,reduced,300.0,600.0,ridge,ridge,6,0.3373111682319247,0.25344178159791525,0.07740709595873896,1.158704236739251,0.9086978480062503,"[0.036740984218621354, -0.005887360201708625, 0.007498217952627861, 0.02031969571827602, -0.003081034462238671, -0.02249421035542701, 0.0, 0.0]",5.148807605769458,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
latent_total,latent,12Oclock,peak_band_auto,total,300.0,600.0,ridge,ridge,6,0.18523137435142006,0.1479082305534984,0.2204953059764001,0.6227533505088237,0.5499666435304252,"[0.019257006201854547, -0.020726920566589695, 0.005940566521002734, 0.010190888776814063, -0.009854957335463885, -0.012296385990673777, 0.0, 0.0]",13.875233584881647,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_total,chrom,6Oclock,320_480nm,total,320.0,480.0,ridge,ridge,6,0.21377781696901105,0.1600868153238856,0.06359930104393763,1.0638375865322496,0.7173996101414436,"[0.004428496192541134, -0.006309181361249709, -0.012639013245467099, -0.002854662330491421, 0.0012148726720324623, -0.001364812964151142, 0.0, 0.0]",3.9849939450722283,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_oxidized,chrom,6Oclock,320_480nm,oxidized,320.0,480.0,ridge,ridge,6,0.12439734099753894,0.08675067392040625,0.5246900763982618,0.5780978606328051,0.394359189468975,"[0.002823172982570385, 0.007517065017706527, -0.024339442700290537, -0.0013998983884295304, -0.00706690809744701, -0.0007673327477908203, 0.0, 0.0]",-1.988902712411651,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_reduced,chrom,6Oclock,320_480nm,reduced,320.0,480.0,ridge,ridge,6,0.27135149631848127,0.2091455534276506,0.2914904914097437,1.4173949800698178,0.9925559597177619,"[0.005260804735196858, -0.03457251335682547, -0.0027857105448202456, -0.003894207917218342, 0.017911011699101656, -0.0017502375525774458, 0.0, 0.0]",16.50098200208518,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
