target,modality,kind,band_label,component,band_lower_nm,band_upper_nm,model_type,estimator,n_samples,rmse,mae,r2,rmse_loocv,mae_loocv,coefficients,intercept,feature_columns
dad_total,dad,Delta,320_480nm,total,320.0,480.0,ridge,ridge,6,0.14597450544546905,0.12885549715239106,0.873822771456599,1.1096172780442723,0.7920841231580824,"[7.702317174027136e-05, 0.0024028847207433145, 0.007110818658597055, 0.0006645667032238457, -0.007458985269019107, 0.0006467559653840698, 0.0, 0.0]",0.7526429962941122,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_oxidized,dad,Delta,320_480nm,oxidized,320.0,480.0,ridge,ridge,6,0.1923047225503363,0.15307654991891503,0.7103709620000762,1.4403090681107433,1.024712959860465,"[-0.001011168946605984, 0.003638343354081279, 0.00820774108052687, 0.0006109358523873438, -0.006132861013991658, 0.00043478146008876334, 0.0, 0.0]",-0.6041185836177514,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_reduced,dad,Delta,320_480nm,reduced,320.0,480.0,ridge,ridge,6,0.12501627476609176,0.0925800844154292,0.8732693168913463,0.4794208122074502,0.4003084272609603,"[0.0010692953490199814, -0.0007756597003860596, 0.008595748082667729, 0.00041812583211818353, -0.005317774064867742, 0.0005521370025570879, 0.0, 0.0]",2.2751441215631987,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
latent_total,latent,Delta,320_480nm,total,320.0,480.0,ridge,ridge,6,0.08056410055618794,0.07080455335390166,0.8525404981685312,0.5940786997696537,0.42330783612293454,"[0.00014395180746079223, 0.0011938095025184235, 0.007219298529001449, 0.00037266219323230527, -0.0036929646473862162, 0.0003742789627474529, 0.0, 0.0]",0.4111499349124636,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_total,chrom,Delta,360_410nm,total,360.0,410.0,ridge,ridge,6,0.16103064909865675,0.11640951009060246,0.46868320957379306,0.5740522466043384,0.43212582267788635,"[0.00012339355223360692, 0.006964078992069648, -0.03793184146541515, 1.2152463663268924e-05, -0.01331176812856014, -0.00021217537093842464, -0.001064760398470071, -0.0003031012351583459]",-1.4431337883830029,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_oxidized,chrom,Delta,360_410nm,oxidized,360.0,410.0,ridge,ridge,6,0.14100368770956537,0.10637214065630046,0.3893172832546602,0.29645870287446535,0.2674379481394665,"[-2.1742678999334117e-05, 0.007024380154475595, -0.0089449525693094, 0.00018227078338898693, -0.0031024982134198573, -0.0001990602201743484, 0.00015448545795932562, -0.0001952596683875591]",-2.162257120037997,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_reduced,chrom,Delta,360_410nm,reduced,360.0,410.0,ridge,ridge,6,0.22552471690835219,0.20199085738342984,0.510593724064292,1.1482115692905595,0.8818564424355025,"[0.0014933078915799205, 0.0036166409237919773, -0.0254570900112298, -0.00035088568270471627, -0.02000641812822993, -0.0001724375382041845, -0.00198214063945379, -0.00043607336410904336]",0.6618727337835862,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_total,dad,Delta,360_410nm,total,360.0,410.0,ridge,ridge,6,0.3305731299976716,0.22958295942118193,0.352913918259425,1.140002020811906,0.8428837777403526,"[-0.0002453852615987018, 0.0119354041387544, -0.09749685139865567, 7.74541691842915e-05, -0.022804634733505066, -0.00044640647604968204, -0.002440617682608969, -0.000609530138562297]",-2.351809352986562,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_oxidized,dad,Delta,360_410nm,oxidized,360.0,410.0,ridge,ridge,6,0.29304904757516875,0.2238380242406163,0.32742173122637186,0.636664586029899,0.5824430252208044,"[-0.0006718213409294357, 0.012094233104358821, -0.053140246060419644, 0.0003859899009380252, -0.014422093979867639, -0.0004179424771498098, -0.000400160592900674, -0.0004073950475084909]",-3.526554672422532,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_reduced,dad,Delta,360_410nm,reduced,360.0,410.0,ridge,ridge,6,0.2784678696813567,0.23870254005124544,0.3712198060269083,1.3148798710132594,1.0030707745533656,"[0.0005176525275276922, 0.004949010558125008, -0.08519145753846598, -0.00024374669281453754, -0.021965492012699768, -0.00029310799873662034, -0.0030606689966350565, -0.0005541786585133812]",0.6423597582644804,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
latent_total,latent,Delta,360_410nm,total,360.0,410.0,ridge,ridge,6,0.15941032133020233,0.11222964242705419,0.4226721460958274,0.556786460185942,0.41401194103561995,"[-5.145522392140979e-05, 0.006393690528691464, -0.04458521774866878, 2.9189848135573533e-05, -0.012522869606371504, -0.00021365158192990935, -0.0011507974452689908, -0.00029603253831762946]",-1.2698364868305123,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_total,chrom,Delta,peak_band_auto,total,300.0,600.0,ridge,ridge,6,0.19177275193728172,0.15451641133965402,0.2464531577402066,0.44733040332697444,0.3881316324255922,"[-0.002730942716681699, -0.05716029771083518, 0.00966735453680005, -0.0029838371646249313, 0.0011992048908626082, -0.0049625132452457, 0.0, 0.0]",17.824024326362355,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_oxidized,chrom,Delta,peak_band_auto,oxidized,300.0,600.0,ridge,ridge,6,0.17590414763997728,0.15232114900626842,0.04959908335668539,0.4201292041993723,0.3801893936552376,"[-0.005364804087096213, -0.015280361565380806, 0.0035821218862410256, -0.005646549743255388, 0.00035692147722271887, -0.005201040103030022, 0.0, 0.0]",4.931794780460402,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_reduced,chrom,Delta,peak_band_auto,reduced,300.0,600.0,ridge,ridge,6,0.23113589943028795,0.21229865192792566,0.4859373508132624,0.7261781115710074,0.6119570975857943,"[0.0015811755575483703, -0.15675141436922177, 0.019904961470100204, 0.0020633879893311932, 0.0028719337725131686, -0.002955651399864151, 0.0, 0.0]",48.25154844252618,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_total,dad,Delta,peak_band_auto,total,300.0,600.0,ridge,ridge,6,0.3690290670732711,0.29209365883566224,0.19360447420476135,0.8448228304794624,0.7235870191923159,"[-0.005913499855696571, -0.09313850668168336, 0.011478846821794503, -0.006511814694585547, 0.002379713601068714, -0.009813448151362645, 0.0, 0.0]",29.146640993225933,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_oxidized,dad,Delta,peak_band_auto,oxidized,300.0,600.0,ridge,ridge,6,0.33619593993275926,0.28566481290672874,0.11478832884154277,0.7659796558760025,0.6667924649745158,"[-0.008336165093824796, 0.01565482015016554, 0.006456532381430104, -0.00953216713958698, 0.0007145737588809927, -0.009658274942578886, 0.0, 0.0]",-4.259234881709156,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_reduced,dad,Delta,peak_band_auto,reduced,300.0,600.0,ridge,ridge,6,0.2812304223809006,0.24077421824238945,0.3586822403310347,0.784646707897415,0.6549545654399933,"[-0.0003489100215845037, -0.14222726903178082, 0.012613744112513451, -0.00024846535855717973, 0.00311131382169896, -0.005237601381449373, 0.0, 0.0]",44.23348097409163,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
latent_total,latent,Delta,peak_band_auto,total,300.0,600.0,ridge,ridge,6,0.18630492514782215,0.15010370558347721,0.2114335265592835,0.4313486374060722,0.37463320787574966,"[-0.0027276506652360723, -0.0481053542919006, 0.0075118277586487, -0.0030345656808116175, 0.0011404933139536229, -0.004841562997748314, 0.0, 0.0]",15.081172004219564,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_total,chrom,Sigma,320_480nm,total,320.0,480.0,ridge,ridge,6,0.1544875908900821,0.11690274238061847,0.5109833401537118,0.5679717216598709,0.4668487786940781,"[0.003691446157464847, 0.1194877633268845, 0.00030199965257711865, 0.00048485153048205895, -0.03508002021271132, -0.00042399668272350604, 0.0, 0.0]",-53.40915410859836,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_oxidized,chrom,Sigma,320_480nm,oxidized,320.0,480.0,ridge,ridge,6,0.1114201101989002,0.08796255006343866,0.6186867871567732,0.32370812959947415,0.29461990819253947,"[0.0027666840862160405, 0.05160999350611289, -0.02103504627317853, 0.0005583638490505304, -0.02066566552302271, -8.856055620325627e-05, 0.0, 0.0]",-22.08968791264722,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_reduced,chrom,Sigma,320_480nm,reduced,320.0,480.0,ridge,ridge,6,0.24840395240441857,0.1838683691641391,0.40625735205910984,0.7990933351881929,0.6725761373577558,"[0.0035909640771187574, 0.16502376588306542, 0.02469872804280759, 0.000127378594915832, -0.042076798354264554, -0.0009395778310438942, 0.0, 0.0]",-74.4991107661686,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_total,dad,Sigma,320_480nm,total,320.0,480.0,ridge,ridge,6,0.30201733514314544,0.22565495556985835,0.45987944984510765,1.0780579465594022,0.8963042542741718,"[0.007490604119745591, 0.2200204939276805, -0.006483659310933404, 0.0010946240500820882, -0.06084656362841423, -0.0007205665889780127, 0.0, 0.0]",-98.31919510016836,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_oxidized,dad,Sigma,320_480nm,oxidized,320.0,480.0,ridge,ridge,6,0.2692802513355395,0.20819719501730857,0.4321008606685218,0.7969216432037829,0.7196117163263053,"[0.00691142071092284, 0.12880943384932492, -0.02067681779470796, 0.0013133319467041392, -0.04438666428829757, -0.00028534996163319024, 0.0, 0.0]",-56.835526044395046,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_reduced,dad,Sigma,320_480nm,reduced,320.0,480.0,ridge,ridge,6,0.2658812280405649,0.1979987827962754,0.4267764551190538,0.9505972997341511,0.7776720208215152,"[0.005367646392131779, 0.20138570808210138, 0.015894942186118026, 0.0005167603613048259, -0.04748977204713908, -0.0009020549820863207, 0.0, 0.0]",-90.58360769575117,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
latent_total,latent,Sigma,320_480nm,total,320.0,480.0,ridge,ridge,6,0.1504257282480917,0.11305250034184057,0.48591624305727055,0.5483994083224311,0.4519168413190786,"[0.0036908879959508686, 0.11416438378744041, -0.0006571096078304167, 0.0005130528365800061, -0.0325146819357583, -0.000383007757821577, 0.0, 0.0]",-51.03853422612618,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_total,chrom,Sigma,360_410nm,total,360.0,410.0,ridge,ridge,6,0.18221741654393647,0.1398589079727803,0.31967532420025246,0.32588502948642867,0.2743881018840075,"[-0.00016460806904661828, 0.04884238793576531, -0.03793047353884044, -0.0004903112352226832, 0.163325789072931, -0.0011335332900750841, -0.00016968856518402765, 0.00015711477779229284]",-24.200743914171067,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_oxidized,chrom,Sigma,360_410nm,oxidized,360.0,410.0,ridge,ridge,6,0.12264328802965858,0.10278615004118598,0.537999700044741,0.21392057642920792,0.2022936821672161,"[-0.0017864567979217572, 0.06145301897686519, -0.09423806453078831, -0.000286387024922898, 0.07482245535635845, -0.000663051377723519, -0.001792849028905882, 9.981819190118388e-05]",-26.304382039353584,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_reduced,chrom,Sigma,360_410nm,reduced,360.0,410.0,ridge,ridge,6,0.2712932346691891,0.19978689303355987,0.29179470569702337,0.5223069751329745,0.38559081313032334,"[0.0024371708847759914, -0.01949951679794041, 0.06370750980804077, -0.0006815487572983497, 0.2621775841318807, -0.0014895348884969586, 0.002439199188957357, 0.00017197480434918123]",0.09381878012304821,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_total,dad,Sigma,360_410nm,total,360.0,410.0,ridge,ridge,6,0.3167202764031467,0.23283985668921311,0.40601060067512673,0.5867691294947454,0.4844904827417366,"[-0.0010821891808391688, 0.11468778414796062, -0.11522790986540773, -0.0008322949833166695, 0.30179888245646597, -0.0019006185084881478, -0.0010941187950324028, 0.000254163167741431]",-54.22418104949877,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_oxidized,dad,Sigma,360_410nm,oxidized,360.0,410.0,ridge,ridge,6,0.2442824974171408,0.20615315810827117,0.5326449872273757,0.4733497465046269,0.4371599314887615,"[-0.0025251845540329994, 0.14899309620645623, -0.15264346135937482, -0.0006254908379718398, 0.19250425237700744, -0.0014153787617996938, -0.0025406825442352288, 0.00019869171789928253]",-65.12032603304029,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_reduced,dad,Sigma,360_410nm,reduced,360.0,410.0,ridge,ridge,6,0.29647760925027644,0.230294516298113,0.2872578080692447,0.5522015383691807,0.4396103516244198,"[0.0012120430675275, 0.034449983213466505, -0.011538276138341574, -0.0006940705718264969, 0.2937501934970087, -0.0015282120645087062, 0.001208459643086297, 0.00017638951941342164]",-21.794303350715857,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
latent_total,latent,Sigma,360_410nm,total,360.0,410.0,ridge,ridge,6,0.16773233330805803,0.12665980608124325,0.360819946781755,0.30527284962042245,0.25610230660751415,"[-0.00032222692861013627, 0.05380913403426964, -0.04592628320542907, -0.0004469475614366406, 0.15475609520502312, -0.0010306188462372305, -0.00032782405662051795, 0.0001413888283823037]",-25.877590142398688,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_total,chrom,Sigma,peak_band_auto,total,300.0,600.0,ridge,ridge,6,0.11402821990166787,0.11193389022604511,0.7335834852290108,0.3162586848476353,0.2959287503155081,"[0.005665673399026198, -0.0378206571924644, 0.011068879863376244, 0.003046556166089483, -0.04104712534275778, -0.0025536031753102257, 0.0, 0.0]",27.65597834789481,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_oxidized,chrom,Sigma,peak_band_auto,oxidized,300.0,600.0,ridge,ridge,6,0.03659961174673222,0.024525934986564687,0.9588558927253139,0.07478960484612507,0.052151169187784154,"[6.348563552472759e-05, -0.049193567804209457, 0.0016852345237179313, -0.0002583348667755323, -0.03263379010056251, -0.0003853520327330627, 0.0, 0.0]",33.67026413138303,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_reduced,chrom,Sigma,peak_band_auto,reduced,300.0,600.0,ridge,ridge,6,0.25100943998887765,0.2340684994914445,0.39373659947058004,0.7415580433918569,0.6440011209261374,"[0.013712224265428681, -0.02401867255531396, 0.019282898375689937, 0.008419300878193418, -0.03693796284890814, -0.005507783768761518, 0.0, 0.0]",18.927922839444147,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_total,dad,Sigma,peak_band_auto,total,300.0,600.0,ridge,ridge,6,0.19956935640759682,0.19802041940499115,0.7641615171299732,0.553726739001856,0.5228831968407895,"[0.010757472760722546, -0.00159582063665785, 0.014480374031610056, 0.005636225106654202, -0.08840973387566124, -0.004504021755377621, 0.0, 0.0]",12.577185540161828,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_oxidized,dad,Sigma,peak_band_auto,oxidized,300.0,600.0,ridge,ridge,6,0.07477386405913505,0.05542927616103115,0.956211320299831,0.16612863856923527,0.1341550697405415,"[0.001918057418655371, -0.055112999290297573, 0.011665547565029593, 0.0004818529910101189, -0.07767544739750075, -0.001232472542549177, 0.0, 0.0]",42.38971312673831,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_reduced,dad,Sigma,peak_band_auto,reduced,300.0,600.0,ridge,ridge,6,0.2512226034216229,0.24555914912799026,0.4882402891784515,0.7371860574225196,0.6677521595836854,"[0.014922594785403113, 0.05620144818759438, 0.014209965808298359, 0.008628761583592074, -0.06397855749500472, -0.005695989555584945, 0.0, 0.0]",-24.502978349549487,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
latent_total,latent,Sigma,peak_band_auto,total,300.0,600.0,ridge,ridge,6,0.10471210711332465,0.10356035130897957,0.7508944322350775,0.28956124254279486,0.27315198025720927,"[0.005399443965818832, -0.018848245637544874, 0.00936579031634091, 0.0028452301513673516, -0.04216235860786026, -0.0023546642026476164, 0.0, 0.0]",16.63132224692374,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
